awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
食べログ パン TOKYO 百名店 2022 選出店,ラトリエ ドゥ プレジール,祖師ケ谷大蔵駅 407m , パン・サンドイッチ(パン),,～￥999,～￥999,4.17,月曜日、木曜日、日曜日,https://tabelog.com/tokyo/A1318/A131814/13050412/,予約可,店頭での予約のみ可,小田急線祖師ケ谷大蔵駅から徒歩５～７分ほどまたは成城学園前駅から徒歩１０～１２分ほど 祖師ケ谷大蔵駅から407m,12:00 - 19:00,■ 営業時間取り置きの電話を含めて５時までは留守電のガイダンスが流れるだけで取ってくれません。,カード不可 電子マネー不可 QRコード決済不可,"35.64167123868995,139.6056979840975",03-3416-3341,東京都世田谷区砧8-13-8 ジベ成城　１Ｆ,1045
食べログ スイーツ TOKYO 百名店 2023 選出店,パティスリー・パリセヴェイユ,自由が丘駅 196m , ケーキ、カフェ、パン・サンドイッチ(パン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.96,水曜日、木曜日,https://tabelog.com/tokyo/A1317/A131703/13005198/,予約可,当日予約不可キャンセル・予約変更は前々日までなら対応可,東急東横線・東急大井町線「自由が丘」駅(正面口)から徒歩3分 自由が丘駅から196m,,,カード不可 電子マネー不可 QRコード決済不可,"35.60696253873139,139.66657328370425",03-5731-3230,東京都目黒区自由が丘2-14-5 館山ビル 1F,2501
食べログ パン TOKYO 百名店 2022 選出店,ル・プチメック 日比谷店,日比谷駅 127m , パン・サンドイッチ(パン)、カフェ,,～￥999,～￥999,3.9,-,https://tabelog.com/tokyo/A1301/A130102/13219670/,予約不可,,ＪＲ有楽町駅日比谷口より徒歩約５分東京メトロ銀座線Ｃ１出口より徒歩約５分東京メトロ日比谷駅より徒歩約２分 日比谷駅から127m,08:00 - 20:00L.O. 19:30,■ 定休日日比谷シャンテに準ずる,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済可,"35.67332443871902,139.760104484309",03-6811-2203,東京都千代田区有楽町1-2-2 日比谷シャンテ 1F,1821
食べログ スイーツ TOKYO 百名店 2023 選出店,リュードパッシー,学芸大学駅 243m , ケーキ、カフェ、パン・サンドイッチ(パン),,-,-,3.9,-,https://tabelog.com/tokyo/A1317/A131702/13005155/,,,東急東横線「学芸大学駅」西口から徒歩4分 学芸大学駅から243m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.62755013872362,139.6832289839005",,東京都目黒区鷹番3-17-6 ,668
食べログ パン TOKYO 百名店 2022 選出店,VIRON 渋谷店,神泉駅 491m , パン・サンドイッチ(パン)、パン・サンドイッチ(サンドイッチ)、ケーキ,,～￥999,～￥999,3.89,-,https://tabelog.com/tokyo/A1303/A130301/13004626/,予約不可,,JR渋谷駅から徒歩８分。東急本店向かい。 神泉駅から491m,,,カード不可 電子マネー不可 QRコード決済不可,"35.66087593870677,139.69677648422766",03-5458-1770,東京都渋谷区宇田川町33-8 塚田ビル 1F,2919
食べログ パン TOKYO 百名店 2022 選出店,ブーランジェリー スドウ,松陰神社前駅 35m , パン・サンドイッチ(パン)、カフェ、スイーツ,,～￥999,～￥999,3.89,月曜日、火曜日、水曜日、木曜日,https://tabelog.com/tokyo/A1317/A131709/13098861/,予約可,バケット、焼き菓子は連絡すれば予約して取りに行くこともできるそうです。それ以外のパンは予約はできないとのことでした。,世田谷線松陰神社前駅徒歩1分三軒茶屋駅から世田谷線に乗車した場合、進行方向先頭側の出口を出てすぐ左手がブーランジェリースドウです。下高井戸駅方面から乗車した場合は、最後尾の出口を出て踏切を渡るとすぐ左手です。東急バス渋21.22.23.24.52系統　松陰神社前バス停徒歩3分（渋谷駅西口、祖師ヶ谷大蔵、成城学園前などより） 松陰神社前駅から35m,,,カード不可 電子マネー不可 QRコード決済不可,"35.64377843870428,139.6548961840843",03-5426-0175,東京都世田谷区世田谷4-3-14 ,1050
食べログ スイーツ TOKYO 百名店 2023 選出店,パティスリー ユウ ササゲ,千歳烏山駅 265m , ケーキ、パン・サンドイッチ(パン),,-,-,3.89,火曜日、水曜日,https://tabelog.com/tokyo/A1318/A131809/13155662/,予約可,,京王線「千歳烏山」駅 北口より、徒歩４分 千歳烏山駅から265m,,,カード可 （VISA、Master、JCB） 電子マネー可 QRコード決済不可,"35.66989153866988,139.5989477843873",03-5315-9090,東京都世田谷区南烏山6-28-13 ,668
食べログ パン TOKYO 百名店 2022 選出店,ブーランジェリー ボネダンヌ,三軒茶屋駅 761m , パン・サンドイッチ(パン)、洋菓子、パン・サンドイッチ(サンドイッチ),,"￥1,000～￥1,999","￥1,000～￥1,999",3.88,月曜日、火曜日、水曜日,https://tabelog.com/tokyo/A1317/A131705/13158722/,予約可,,東急田園都市線【三軒茶屋駅】徒歩12分東急世田谷線【三軒茶屋駅】徒歩13分東急田園都市線【池尻大橋駅】徒歩14分 三軒茶屋駅から761m,,,カード可 （VISA、Master、JCB、AMEX） 電子マネー可 QRコード決済可 （PayPay、楽天ペイ）,"35.650108338706474,139.6743961841346",03-6805-5848,東京都世田谷区三宿1-28-1 Sofi三宿 1F,532
食べログ スイーツ TOKYO 百名店 2023 選出店,アディクト オ シュクル,都立大学駅 370m , ケーキ、カフェ、パン・サンドイッチ(パン),,～￥999,～￥999,3.87,火曜日、水曜日,https://tabelog.com/tokyo/A1317/A131702/13171753/,予約可,,東急東横線都立大学駅から徒歩5分 都立大学駅から370m,11:00 - 17:30,■ 営業時間売切れ仕舞い■ 定休日不定休あり,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay） QRコード決済可,"35.61853903872591,139.67247278381706",03-6421-1049,東京都目黒区八雲1-10-6 ,627
食べログ パン TOKYO 百名店 2022 選出店,パン・デ・フィロゾフ,神楽坂駅 347m , パン・サンドイッチ(パン),,～￥999,～￥999,3.86,月曜日,https://tabelog.com/tokyo/A1309/A130905/13213156/,予約不可,,神楽坂駅から347m,10:00 - 19:00,■ 営業時間売切れ仕舞い,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay） QRコード決済可 （PayPay、d払い）,"35.705126338691755,139.7378734846458",03-6874-5808,東京都新宿区東五軒町1-8 ,1129
