awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,opening_time,geo_coordinates,telephone,address,num_review
食べログ ラーメン TOKYO 百名店 2023 選出店,らぁ麺や 嶋,西新宿五丁目駅 363m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.99,土曜日、日曜日、祝日,https://tabelog.com/tokyo/A1304/A130401/13247487/,予約可,■ご来店日の前日朝8:00より予約サービスTableCheckにて8:45～14:00入店分のご予約受付開始※当日予約の店頭記帳制は廃止※当日 各時間の予約キャンセル等で空席がでた場合、キャンセル席待ちとして一部店頭受付を行います。※なお、当日お並びいただいてもご案内できない場合がございますため、予めご了承ください。,,"35.68834184165506,139.68087413976107",不明の為情報お待ちしております,東京都渋谷区本町3-41-12 ,1513
食べログ ラーメン TOKYO 百名店 2023 選出店,Ramen FeeL,日向和田駅 718m , ラーメン・つけ麺(ラーメン),,-,-,3.98,水曜日,https://tabelog.com/tokyo/A1330/A133003/13254631/,予約可,2024年1月10日から開始。店主のXまたはInstagramからTable Checkの予約ページに飛べます。,,"35.7887116384743,139.22177598585188",0428-85-9382,東京都青梅市梅郷4-695-1 ,951
食べログ ラーメン TOKYO 百名店 2023 選出店,Homemade Ramen 麦苗,大森海岸駅 419m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),化学調味料は一切不使用。麺、具材と天然素材由来の出汁が織りなす、滋味深き1杯の余韻に浸る,"￥1,000～￥1,999","￥1,000～￥1,999",3.96,水曜日、木曜日,https://tabelog.com/tokyo/A1315/A131502/13194812/,予約不可,,,"35.59077613876275,139.73280328349432",非公開,東京都品川区南大井6-11-10 ,2147
食べログ ラーメン TOKYO 百名店 2023 選出店,宍道湖しじみ中華蕎麦 琥珀 東京本店,雑色駅 387m , ラーメン・つけ麺(ラーメン),,-,-,3.95,日曜日、祝日,https://tabelog.com/tokyo/A1315/A131503/13234195/,完全予約制,4月1日以降のご予約は X（旧Twitter）または Instagram のトップページにあるリンクから承ります,,"35.55124683878097,139.7111869831102",03-6690-0893,東京都大田区西六郷2-1-3 ,1418
食べログ ラーメン TOKYO 百名店 2023 選出店,ジャパニーズ ラーメン 五感,池袋駅 722m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.95,月曜日、火曜日,https://tabelog.com/tokyo/A1305/A130501/13284009/,完全予約制,毎週日曜11:00より翌週水〜日まで予約受付。X、インスタ、Googleのトップページからtable check（web予約サイト）でご予約お願い致します。,,"35.733079138667634,139.71790538494216",不明の為情報お待ちしております,東京都豊島区東池袋2-57-2 コスモ東池袋 101,859
食べログ ラーメン TOKYO 百名店 2023 選出店,メヂカそば 吟魚,万願寺駅 194m , ラーメン・つけ麺(ラーメン),,-,-,3.95,火曜日、水曜日,https://tabelog.com/tokyo/A1329/A132903/13272366/,予約不可,,,"35.6696090386128,139.41912728451052",非公開,東京都日野市石田2-9-1 ,571
,奈つやの中華そば,下丸子駅 159m , ラーメン・つけ麺(ラーメン),,-,-,3.94,火曜日、金曜日,https://tabelog.com/tokyo/A1317/A131716/13293385/,予約不可,,,"35.57140284817609,139.68389120317588",不明の為情報お待ちしております,東京都大田区下丸子4-4-8 ,497
食べログ ラーメン TOKYO 百名店 2023 選出店,麺屋吉左右,木場駅 336m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.93,水曜日、金曜日、日曜日,https://tabelog.com/tokyo/A1313/A131303/13021140/,予約不可,,,"35.6684675387381,139.81030768422477",03-3699-5929,東京都江東区東陽1-11-3 ,2107
,饗 くろ喜,浅草橋駅 72m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.93,日曜日,https://tabelog.com/tokyo/A1311/A131103/13290780/,予約不可,,,"35.698005638711415,139.78540768454056",03-3863-7117,東京都台東区浅草橋1-28-9 ROJI ASAKUSABASHI 1F,748
食べログ ラーメン TOKYO 百名店 2023 選出店,Tokyo Style Noodle ほたて日和,秋葉原駅 330m , ラーメン・つけ麺(つけ麺)、ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.92,水曜日,https://tabelog.com/tokyo/A1310/A131001/13280086/,予約不可,,,"35.69851697714618,139.7771560190535",03-3863-3773,東京都千代田区神田佐久間町2-25 ,816
食べログ ラーメン TOKYO 百名店 2023 選出店,麺処 しろくろ,八幡山駅 57m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.91,月曜日,https://tabelog.com/tokyo/A1318/A131809/13242508/,予約不可,,,"35.66976143867525,139.61552868437434",不明の為情報お待ちしております,東京都杉並区上高井戸1-1-7 ,873
食べログ ラーメン TOKYO 百名店 2023 選出店,Ramen Break Beats,祐天寺駅 829m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.9,月曜日、火曜日、水曜日,https://tabelog.com/tokyo/A1317/A131701/13267329/,完全予約制,,,"35.63351513872478,139.69876768394988",不明の為情報お待ちしております,東京都目黒区目黒4-21-19 アイビーハイツ 1F,1051
食べログ ラーメン TOKYO 百名店 2023 選出店,入鹿TOKYO,東久留米駅 206m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.9,-,https://tabelog.com/tokyo/A1328/A132802/13234223/,予約不可,,,"35.759212538591875,139.53214608533634",042-470-8082,東京都東久留米市本町1-4-28 ,568
,中華そば 鴨福,八王子市 , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.9,月曜日、木曜日、日曜日、祝日,https://tabelog.com/tokyo/A1329/A132904/13297180/,予約不可,,,"35.657443038591474,139.32792498445153",不明の為情報お待ちしております,東京都八王子市小門町5-3 ,204
食べログ ラーメン TOKYO 百名店 2023 選出店,創作麺工房 鳴龍,新大塚駅 320m , ラーメン・つけ麺(担々麺)、ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.89,火曜日,https://tabelog.com/tokyo/A1323/A132302/13141302/,完全予約制,"2024/02/01より整理券制導入営業日の午前8:00より受付・発券開始店頭に設置されるタブレット端末で当日分の受付・発券が可能予約可能時間は11:00からの30分刻み(11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30)",,"35.72867583867439,139.73034258488897",03-6304-1811,東京都豊島区南大塚2-34-4 SKY南大塚 1F,2011
