name,url,distinction,reservation_link,description_en,postal_code,region,locality,lat,lon,price_lvl,genre
しろ／shiro,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/shiro-1215790,,https://www.tablecheck.com/ja/shiro/reserve/message?utm_source=michelin_guide,「しろ」は無垢や純粋さを表す色。白い空間が清々しく、余白を残す盛り付けに思いを宿す。島根県浜田市の食材が多いのは、故郷の魅力を広めるため。魚介は同級生から仕入れ、農家から届いた果物はデザートに使う。創意を発揮するのが二皿続けるパスタ。乾麺と手打ちの異なる個性で楽しませてくれる。,604-0021,京都,京都,35.012542,135.758148,¥¥¥,イタリア料理
饗宴／Kyoen,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/kyoen,,https://omakase.in/ja/r/xk932254?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,日本料理とイタリア料理の共演。双方コースの流れを重視しながらも、個性はしっかり打ち出す。椀物は基本に忠実、パスタの味わいは伊太利だ。締めのご飯に加え、ビーフカツやカレーなども用意し、満足感も与えてくれる。和洋を交えた献立に日本酒とワインのおもてなし。至れり尽くせりの「饗宴」となる。,605-0074,京都,京都,35.001672,135.774183,¥¥¥,現代風料理
カミノザ／KAMINOZA,https://guide.michelin.com/jp/ja/osaka-region/osaka/restaurant/kaminoza,,https://www.tablecheck.com/shops/kaminoza/reserve?utm_source=michelin_guide,料理と向き合える幸せ、座するお客への気持ち。「神の座」を意味する屋号に感謝がこもる。日本料理の伝統を再構築し、現代陶芸家の器に盛り、日本の今を表す。椀物のだしはドリップコーヒーのように引き、自然な旨みを求めて塩のみで味付ける。精一杯の料理ともてなしから感謝の念が伝わってくる。,540-0011,大阪,大阪,34.681346,135.51166,¥¥¥,日本料理
天星／Tenboshi,https://guide.michelin.com/jp/ja/osaka-region/osaka/restaurant/tenboshi,,,天ぷら店を展開する「ぬま田」の経営。数ある支店の中でも気軽な店とし、懐にやさしい値段で人気を集めている。主人が天草出身であることから熊本を中心とする九州の食材も多い。生搾りの胡麻と綿実のブレンド油で揚げる天ぷらは軽やか。魚介と野菜を交互に供し、種を引き立てる天つゆにも個性がある。,531-0041,大阪,大阪,34.71368,135.51121,¥¥,天ぷら
クイントカント／QUINTOCANTO,https://guide.michelin.com/jp/ja/osaka-region/osaka/restaurant/quintocanto,,,イタリアの伝統を踏まえつつ創造する「クチーナ・クレアティーバ」。シェフは郷土料理を紐解き、現代の感性でアレンジする。フォワグラのカタラーナとスパゲッティポモドーロは定番としながらも、それ以外は常に新しい料理を創作。サローネグループの経営ゆえゲストをもてなすサロンでありたいと望む。,530-0005,大阪,大阪,34.693317,135.492433,¥¥¥,イタリア料理
西陣 はしもと／Nishijin Hashimoto,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/nishijin-hashimoto,,,少年時代から野球一筋だった主人は、鍛えられた精神力で板場に立つ。一球入魂という座右の銘は、料理人となった今も変わらない。献立の幅を広げるためすしを握り、蕎麦を打つ。名物の胡麻豆腐は、季節野菜のすり流しを合わす。女将手製の甘味にもほっこり。心から喜ばせたい気持ちが伝わってくる。,602-8441,京都,京都,35.03101,135.748777,¥¥¥,日本料理
上六ワイン／Ueroku wine,https://guide.michelin.com/jp/ja/osaka-region/osaka/restaurant/ueroku-wine,,,ボルドーのワイン醸造家が経営するレストラン。スペインは地中海と大西洋に面し、日本の四方は海。それらの地理的特性と食文化を料理に生かす。シェフは日本ならではの魚介を使い料理に特色を持たせる。オーナーの醸造酒、「Clos Leo クロ・レオ」はもちろん、各国からセレクションするワインと楽しみたい。,543-0021,大阪,大阪,34.668227,135.521255,¥¥,スペイン料理
辻布紗／Tsujifusa,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/tsujifusa,,,布紗は麻の織物を意味し、清浄の象徴として神事に使われた。神聖な供物から発展した日本料理と共通する尊さを持つことから屋号とし、暖簾は無垢な麻を掲げてある。主人の日々の務めは下御霊神社で手を合わせ、清らかな御神水を汲むこと。ソムリエの資格を持つ女将が日本酒やワインを合わせてくれる。,604-0805,京都,京都,35.014965,135.763464,¥¥¥,日本料理
割烹 梅津／Kappo Umetsu,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/kappo-umetsu,,,食べ手を楽しませるため一品料理が豊富に揃う。焼く、煮る、揚げるなど好みの調理に応えてくれる。その柔軟さも嬉しい一味。梅津という姓だけに梅には特別な想いがある。梅干しを漬けて梅肉醤油を作り、鱧の落としや牛カツに添えるなど一工夫。割烹着姿の女将と息の合ったもてなしにくつろげる。,605-0073,京都,京都,35.005219,135.775717,¥¥¥,日本料理
台処 かみ谷／Daidokoro Kamiya,https://guide.michelin.com/jp/ja/osaka-region/osaka/restaurant/daidokoro-kamiya,,,魚介と肴が売りの居酒屋。なにわの食文化ゆえ白身魚は欠かさない。季節の野菜を合わす「ポテサラ」、ペペロンチーノ風「へしこペペ」は、うどん、へしこ、にんにくの焼うどん。食材は全国から集まるほか、オーストラリア産仔羊など海外から届いたものも。すなわち “天下の台処”で神谷が振舞う。,550-0003,大阪,大阪,34.687862,135.495192,¥¥,居酒屋
