awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Bronze 受賞店,鮨旬美西川,名古屋駅 573m , 寿司,地元のネタにこだわった、“名古屋前”というべき寿司のコース。,"￥20,000～￥29,999","￥20,000～￥29,999",4.22,水曜日,https://tabelog.com/aichi/A2301/A230101/23023439/,予約可,御予約の御電話は09：00～22：00迄承ります。接客中など御電話出れない場合こちらより折り返しご連絡させて頂きます。その際携帯から折り返しさせて頂く事も御座いますので宜しく御願い致します。 ,名古屋駅　1番出口から徒歩5分 名古屋駅から573m,18:00 - 00:00,■定休日不定休あり,カード可 電子マネー不可,"35.17549583811924,136.8839184812966",090-2183-4927,愛知県名古屋市中村区名駅2-29-19 ,302
The Tabelog Award 2024 Bronze 受賞店,右江田,尾頭橋駅 948m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",4.21,月曜日,https://tabelog.com/aichi/A2301/A230105/23014106/,完全予約制,,金山駅よりタクシーにて約１０分　名古屋駅ですとタクシーにて約１５分 尾頭橋駅から948m,17:30 - 22:30,■ 営業時間お昼席・夕席ともに完全予約制,カード不可 電子マネー不可,"35.14668393813648,136.8806148810079",052-353-6005,愛知県名古屋市中川区八幡本通2-20 ,100
食べログ 寿司 EAST 百名店 2022 選出店,鮨 土方,栄（名古屋）駅 438m , 寿司,,"￥50,000～￥59,999","￥50,000～￥59,999",4.17,月曜日、木曜日、日曜日,https://tabelog.com/aichi/A2301/A230103/23050373/,予約可,,最寄駅は栄駅または伏見駅です。 栄駅（名古屋）から438m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.17091153812836,136.90339828123663",052-950-6515,愛知県名古屋市中区錦3-12-30 第二ワシントンANexビル 1F,87
The Tabelog Award 2024 Bronze 受賞店,寿し道 桜田,久屋大通駅 541m , 寿司,東京の実力店で経験を積んだ、若き江戸前職人の店。,"￥30,000～￥39,999","￥30,000～￥39,999",4.16,-,https://tabelog.com/aichi/A2301/A230103/23070288/,,,名古屋市営地下鉄桜通線・名城線「久屋大通駅」1番出口より徒歩7分 久屋大通駅から541m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 QRコード決済不可,"35.17587023812503,136.9028420812871",,愛知県名古屋市中区丸の内3-10-29 ,242
,あま木,伏見駅 185m , 寿司,伏見駅5分◆ホテル最上階に構える贅沢な空間で、地元の恵みを昇華させた珠玉の握りを堪能,"￥30,000～￥39,999","￥30,000～￥39,999",4.11,日曜日,https://tabelog.com/aichi/A2301/A230102/23088371/,完全予約制,香水や強い香りはお控え下さいますようお願い致します。,名古屋市営地下鉄　東山線・鶴舞線 伏見駅より徒歩5 分 伏見駅から185m,18:00 - 22:00,日曜日+不定でお休みを頂くことがございます。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.16877598304124,136.89544772423002",052-231-7971,愛知県名古屋市中区錦1-19-30 名古屋観光ホテル 18F,53
食べログ 寿司 EAST 百名店 2022 選出店,すし処 睦月,知多郡武豊町 , 寿司、日本料理,,"￥10,000～￥14,999","￥10,000～￥14,999",4.09,-,https://tabelog.com/aichi/A2304/A230402/23013911/,完全予約制,完全予約制,名鉄上ゲ駅より西へ徒歩３分程度 上ゲ駅から151m,,,カード不可 電子マネー不可 QRコード決済不可,"34.859332738330025,136.9152852780811",0569-72-8185,愛知県知多郡武豊町池田2-137-4 ,173
食べログ 寿司 EAST 百名店 2022 選出店,ふじさわ,名古屋市天白区 , 寿司,,"￥40,000～￥49,999","￥40,000～￥49,999",4.03,-,https://tabelog.com/aichi/A2301/A230107/23005527/,完全予約制,,"名古屋市営地下鉄 東山線 東山公園駅もしくは星ヶ丘駅より車で5分程度。 名古屋大学駅から1,465m",,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.14900003816701,136.98104798096088",052-782-1048,愛知県名古屋市天白区植田山1-111-1 ,139
食べログ 寿司 EAST 百名店 2022 選出店,浜源,御器所駅 577m , 寿司,,"￥30,000～￥39,999","￥30,000～￥39,999",3.95,-,https://tabelog.com/aichi/A2301/A230108/23000634/,完全予約制,予約は予約サイトOMAKASEからお願い致します。御予約に関しましては可能な限り、予約者様ご本人の御来店を御願い致します。※外国のお客様の為の予約代行は承ります。,地下鉄御器所駅2番出口より徒歩7分程です。 御器所駅から577m,,,カード可 （VISA、Master、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.1460624970827,136.9384571425168",052-853-1841,愛知県名古屋市昭和区南分町1-28 ,150
,鮨 しみず,浄心駅 808m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",3.94,-,https://tabelog.com/aichi/A2301/A230109/23081320/,完全予約制,・ご予約についてご予約は、ホームページよりネット予約にてお願い致します。・ご予約のキャンセルについてキャンセルは7日前までにお願いいたします。7日前以降のキャンセルは100％の料金を頂戴する場合がございます。ご理解のほどよろしくお願いいたします。,名古屋市営鶴舞線 / 浄心駅 徒歩13分名古屋市営鶴舞線 / 浅間町駅 徒歩14分名古屋市営バス/「葭原町」バス停より徒歩2分 浄心駅から808m,18:30 - 23:00,■ 定休日不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.18933593811006,136.88269908143724",052-982-7138,愛知県名古屋市西区名西2-10-10-1 ,50
,鮨 功,高岳駅 45m , 寿司、日本料理、海鮮,【高岳駅2分】東海地方が誇る新鮮な海の幸、自然の恵みを一貫に込めて。貸切可能,"￥20,000～￥29,999","￥20,000～￥29,999",3.83,,https://tabelog.com/aichi/A2301/A230104/23083909/,予約可,■香水、オーデコロンなどをつけられてのご来店はご遠慮いただいております。,高岳1番出口から徒歩1分 高岳駅から45m,11:30 - 14:00,■ 定休日不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.174479638129874,136.91529268126433",080-8262-5991,愛知県名古屋市東区泉2-28-24 東和高岳ビル B1F,116
