awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
食べログ スイーツ WEST 百名店 2023 選出店,アシッドラシーヌ,天満橋駅 305m , ケーキ、マカロン,,"￥1,000～￥1,999","￥1,000～￥1,999",3.87,水曜日、木曜日,https://tabelog.com/osaka/A2701/A270104/27071315/,予約可,,大阪メトロ天満橋駅徒歩約6分京阪天満橋駅徒歩約7分大阪シティバス天満橋バス停徒歩約8分(大阪駅前、上本町六丁目などより62系統他) 天満橋駅から305m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.68711613799358,135.51533787732285",06-7165-3495,大阪府大阪市中央区内平野町1-4-6 ヴィヴァーチェ 大手前 1F,1034
食べログ スイーツ WEST 百名店 2023 選出店,"Patisserie Ravi,e relier",中崎町駅 260m , ケーキ、パン,,"￥1,000～￥1,999","￥1,000～￥1,999",3.79,日曜日,https://tabelog.com/osaka/A2701/A270103/27044987/,予約可,,・地下鉄谷町線「中崎町」駅(1番出口)より徒歩5分・地下鉄堺筋線「扇町」駅(2A出口)より徒歩6分・JR大阪環状線「天満」駅より徒歩7分 大阪市バス　36/37/78/83系統 「太融寺町」バス停下車 徒歩7分 中崎町駅から260m,11:00 - 19:00,■ 営業時間※商品が売り切れ次第閉店■ 定休日その他不定休あり　※公式インスタグラムを参照してください,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 QRコード決済可 （PayPay）,"34.70571523797933,135.5076870775161",06-6313-3688,大阪府大阪市北区山崎町5-13 ,1164
食べログ スイーツ WEST 百名店 2023 選出店,エシレ・マルシェ オ ブール,梅田駅 61m , スイーツ、ケーキ、パン,,～￥999,～￥999,3.77,-,https://tabelog.com/osaka/A2701/A270101/27068734/,予約不可,,「阪急梅田」駅から徒歩5分 梅田駅から61m,10:00 - 20:00,■ 定休日不定休 (阪急うめだ本店に準ずる),カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 QRコード決済可,"34.703130437978004,135.4983849774965",06-6361-1381,大阪府大阪市北区角田町8-7 阪急うめだ本店 B2F,1081
食べログ パン WEST 百名店 2022 選出店,ブーランジェリー ブルディガラ 大阪店,西梅田駅 205m , パン、カフェ、ケーキ,,"￥1,000～￥1,999","￥1,000～￥1,999",3.76,-,https://tabelog.com/osaka/A2701/A270101/27009000/,予約不可,,JR北新地駅から徒歩５分地下鉄西梅田駅から徒歩５分 西梅田駅から205m,09:00 - 20:00,■ 定休日不定休（ハービスＰＬＡＺＡに準ずる）,カード可 （VISA、AMEX） 電子マネー可 QRコード決済可,"34.69907063797905,135.49355687745884",06-6343-7130,大阪府大阪市北区梅田2-5-25 ハービスプラザ B2F,1054
食べログ パン WEST 百名店 2022 選出店,ル・シュクレクール 北新地,大江橋駅 162m , パン、ケーキ,,-,-,3.76,月曜日、火曜日,https://tabelog.com/osaka/A2701/A270101/27092018/,予約可,取り置き可,大江橋駅より徒歩2分淀屋橋駅より徒歩5分北新地駅より徒歩5分 大江橋駅から162m,,,カード可 （VISA、Master、JCB、AMEX、Diners、UnionPay） 電子マネー可 QRコード決済可,"34.69568433798303,135.49927347742064",06-6147-7779,大阪府大阪市北区堂島浜1-2-1 新ダイビル 1F,1044
食べログ スイーツ WEST 百名店 2023 選出店,ドゥブルベ・ボレロ 大阪本町店,本町駅 354m , ケーキ、カフェ、パン,,"￥1,000～￥1,999","￥1,000～￥1,999",3.76,土曜日、日曜日,https://tabelog.com/osaka/A2701/A270102/27075194/,予約可,,大阪市営地下鉄「本町」駅(2番出口)から徒歩5～7分 本町駅から354m,10:00 - 19:00,■ 定休日毎週土曜日、日曜日,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可,"34.685957837988845,135.49817267732317",06-6228-5336,大阪府大阪市中央区瓦町4-7-4 南星瓦町ビル 1F,772
食べログ スイーツ WEST 百名店 2023 選出店,ショコラティエ パレ ド オール 大阪,西梅田駅 84m , チョコレート、カフェ、ケーキ,,"￥1,000～￥1,999","￥1,000～￥1,999",3.73,-,https://tabelog.com/osaka/A2701/A270101/27003190/,予約不可,,JR大阪駅　桜橋口より徒歩３分 西梅田駅から84m,11:00 - 20:00,■ 定休日不定休（ハービスPLAZA ENTに準ずる）,カード可 （VISA、Master、JCB、AMEX） 電子マネー可 QRコード決済可,"34.7001780379788,135.49501107746906",06-6341-8081,大阪府大阪市北区梅田2-2-22 ハービスPLAZA ENT 4F,948
食べログ スイーツ WEST 百名店 2023 選出店,パスティチュリア・デリチュース 大阪店,大阪駅 29m , ケーキ,,"￥1,000～￥1,999","￥1,000～￥1,999",3.73,-,https://tabelog.com/osaka/A2701/A270101/27010561/,予約不可,,ＪＲ大阪駅構内 大阪駅から29m,,,カード可 （VISA） 電子マネー不可 QRコード決済可,"34.70266373797774,135.49661857749302",06-6345-1322,大阪府大阪市北区梅田3-1-1 JR大阪駅,634
食べログ スイーツ WEST 百名店 2023 選出店,サロン・ド・テ・アルション 法善寺本店,大阪難波駅 264m , ケーキ、カフェ,,"￥2,000～￥2,999","￥2,000～￥2,999",3.72,-,https://tabelog.com/osaka/A2701/A270202/27001538/,予約可,2Fサロン（イートイン）のお席のご予約はお食事でのご利用の場合のみ承ります,地下鉄「なんば」駅、近鉄「大阪難波」駅下車なんばウォークB-12またはB-14出口より徒歩３分 大阪難波駅から264m,11:30 - 19:30L.O. 18:00,1階物販は20：00閉店お茶会-TER PARTY-開催時は17:00（15：30L.O.）不定休,カード可 （VISA、Master） 電子マネー不可 QRコード決済不可,"34.66806513800141,135.50193797713982",06-6212-4866,大阪府大阪市中央区難波1-6-20 ,951
食べログ スイーツ WEST 百名店 2023 選出店,ル・ピノー 北堀江本店,西大橋駅 326m , ケーキ、カフェ,,"￥1,000～￥1,999","￥1,000～￥1,999",3.72,-,https://tabelog.com/osaka/A2701/A270201/27001030/,予約不可,,Osaka Metro・長堀鶴見緑地線「西大橋駅」徒歩5分・四ツ橋線「四ツ橋駅」徒歩7分・千日前線「西長堀駅」徒歩8分 西大橋駅から326m,09:00 - 20:00,■ 定休日元日,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、iD） QRコード決済可 （PayPay、d払い、au PAY）,"34.67281553799527,135.49214777719465",0120-249-014,大阪府大阪市西区北堀江2-4-12 メゾンドエルキタホリエ　1Ｆ,765
,レ・プティット・パピヨット,肥後橋駅 466m , チョコレート、カフェ、ケーキ,,-,-,3.71,月曜日、火曜日,https://tabelog.com/osaka/A2701/A270102/27064714/,予約不可,お席のご予約は承っておりません。混雑時、長時間お席をご利用のお客様には他のお客様にお席をお譲り頂くよう、御協力をお願いすることがございます。ご了承ください。,地下鉄肥後橋駅７号出口より徒歩５分 肥後橋駅から466m,11:00 - 20:00L.O. 18:30,■ 営業時間イートイン18:30L.O お席のご利用は各日19:00まで9/23(月）営業10/14(月）未定その他営業日はインスタグラム、HPでご確認ください。,カード可 （VISA、Master、AMEX） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay） QRコード決済可 （PayPay）,"34.68732133856476,135.49428792412266",06-6443-7875,大阪府大阪市西区京町掘1-12-24 OH MILLS京町堀 1F,436
