awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Bronze 受賞店,ハジメ,肥後橋駅 270m , イノベーティブ、フレンチ,表現される美しき地球と生命、そして、希望・・・。,"￥80,000～￥99,999","￥80,000～￥99,999",4.32,月曜日、日曜日,https://tabelog.com/osaka/A2701/A270102/27015488/,完全予約制,【　予約電話受付時間　】午前１０：００～　月曜〜土曜０６−６４４７−６６８８【オンライン予約】www.hajime-reservation.com/ja/form/,四つ橋線肥後橋駅７番出口から徒歩３分 肥後橋駅から270m,17:00 - 23:00L.O. 料理19:30 ドリンク22:30,■ 営業時間１７：００〜１９：００（入店）■ 定休日不定休（HPカレンダーをご覧下さい）,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.688712837986415,135.4960572773525",06-6447-6688,大阪府大阪市西区江戸堀1-9-11 アイプラス江戸堀1F,330
,NH,北新地駅 73m , フレンチ、イノベーティブ,"世界で受賞歴をもつシェフの経験光る、""フレンチイノベーティブレストラン""","￥20,000～￥29,999","￥20,000～￥29,999",4.21,,https://tabelog.com/osaka/A2701/A270101/27133396/,完全予約制,,北新地駅から徒歩3分西梅田駅から徒歩5分ドア前のインターホンでお呼び出し下さい。スタッフがお迎えにあがります。 北新地駅から73m,11:30 - 14:30,■ 営業時間ランチ11:30～12:00入店ディナー17:00～20:00入店■ 定休日ご予約は店舗詳細のインスタグラムからお願い致します。,カード可 電子マネー不可 QRコード決済不可,"34.69778590629279,135.4967578367468",06-6341-6288,大阪府大阪市北区曽根崎新地1-5-11 新陽3rdビル 1～2F,116
The Tabelog Award 2024 Bronze 受賞店,スガラボヴィー,心斎橋駅 345m , フレンチ,日本唯一の、ルイ・ヴィトンのコラボレーション・レストラン。,"￥60,000～￥79,999","￥60,000～￥79,999",4.2,水曜日,https://tabelog.com/osaka/A2701/A270202/27116163/,完全予約制,,心斎橋駅から345m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 QRコード決済可,"34.67122353799899,135.50069197717258",不明の為情報お待ちしております,大阪府大阪市中央区心斎橋筋2-8-16 ルイ・ヴィトンメゾン 大阪御堂筋 7F,328
The Tabelog Award 2024 Bronze 受賞店,アニエルドール,阿波座駅 441m , フレンチ,3月2日よりリニューアルオープン致しました。,"￥20,000～￥29,999","￥20,000～￥29,999",4.19,,https://tabelog.com/osaka/A2701/A270105/27074473/,予約可,,地下鉄中央線、または千日前線阿波座駅1番出口より徒歩5分 阿波座駅から441m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 QRコード決済可 （PayPay）,"34.682426437988795,135.49098267729255",06-4981-1974,大阪府大阪市西区西本町2-4-4 ,475
The Tabelog Award 2024 Bronze 受賞店,Point,豊中市 , フレンチ,,"￥20,000～￥29,999","￥20,000～￥29,999",4.18,月曜日、日曜日,https://tabelog.com/osaka/A2706/A270601/27115254/,予約可,営業日の11：00～16：00に電話受付。2ヵ月先の同日までの予約可（来店希望日の2ヵ月前が定休日の場合は、定休日翌日から予約可）ご予約は2名以上で。当日のキャンセル・減員はキャンセル料要,"北大阪急行桃山台駅の阪急バス（4番乗り場）で「熊野町西」バス停下車　徒歩約7分阪急豊中駅・モノレール少路駅・北大阪急行桃山台駅から車で約8分 少路駅（大阪モノレール）から1,247m",18:00 - 23:00,■ 営業時間完全予約制,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可,"34.793079157109915,135.47631288099907",06-6152-8989,大阪府豊中市上野東2-17-47 ,67
The Tabelog Award 2024 Bronze 受賞店,フナシェフ,天満駅 338m , フレンチ,ヨーロッパ、アジア、南半球での経験を融合。元・サッカー日本代表専属シェフの、現代フレンチ。,"￥20,000～￥29,999","￥20,000～￥29,999",4.17,-,https://tabelog.com/osaka/A2701/A270101/27117389/,予約可,,JR天満駅より徒歩5分大阪メトロ堺筋線扇町より2番A出口徒歩4分大阪メトロ谷町線中崎町、天神橋筋六丁目より徒歩6分 天満駅から338m,,,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済不可,"34.70691663797904,135.50919197752714",06-6450-8565,大阪府大阪市北区黒崎町6-4 ,171
食べログ フレンチ WEST 百名店 2023 選出店,ラ カンロ,南森町駅 349m , イノベーティブ、フレンチ,日常から解き放たれる新たなフランス料理。目を奪われる美しさと記憶に残る味わい。,"￥20,000～￥29,999","￥20,000～￥29,999",4.16,,https://tabelog.com/osaka/A2701/A270103/27119203/,予約可,OMAKASE,JR東西線「南森町駅」より徒歩5分京阪中之島線「なにわ橋駅」より徒歩5分地下鉄堺筋線「北浜駅」より徒歩6分地下鉄「大阪天満宮駅」より徒歩7分 南森町駅から349m,18:00 - 22:00,■ 定休日不定休,カード可 電子マネー不可 QRコード決済不可,"34.694646104323716,135.50982796294556",不明の為情報お待ちしております,大阪府大阪市北区天神西町3-9 NUI南森町南側,156
食べログ フレンチ WEST 百名店 2023 選出店,La Cime,本町駅 360m , フレンチ,2022年『アジアのベストレストラン50』６位。無二の作家性とクリエイションを世界へ。,"￥40,000～￥49,999","￥40,000～￥49,999",4.12,-,https://tabelog.com/osaka/A2701/A270106/27049485/,完全予約制,ネットでのご予約は下記ホームページ欄に記載されているURLをクリック！！ホームページ内から24時間予約受付可能！,地下鉄御堂筋線本町駅１番出口から徒歩５分北浜駅から徒歩約10分 本町駅から360m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.6858146379906,135.50342887731804",06-6222-2010,大阪府大阪市中央区瓦町3-2-15 瓦町ウサミビル　1F,410
食べログ フレンチ WEST 百名店 2023 選出店,しまなみふれんち Murakami,大阪天満宮駅 308m , フレンチ、イノベーティブ,しまなみ出身のシェフが旬の食材をテーマに造り上げる”モダンフレンチ”をお届けします,"￥15,000～￥19,999","￥15,000～￥19,999",4.0,,https://tabelog.com/osaka/A2701/A270103/27100646/,予約可,◆キャンセルにつきましては2日前までにご連絡をお願いします。前日のキャンセルはいかなる理由があろうと「コース料金の半額×人数」を頂戴致します。尚、当日キャンセルに関しましては100％のキャンセル料を頂きます。◆アレルギーの種類・数によってはご予約をお受けできない場合がございます。◆ご予約可能な日程は、当月とその翌月末まで承っております。営業時間内は電話には出れない場合がございます,南森町駅から徒歩5分大阪天満宮駅から徒歩5分 大阪天満宮駅から308m,12:00 - 15:00,■ 営業時間12:00～15:00(最終入店 12:30)食事時間の目安：約1時間半18:00～22:00(最終入店 19:00)食事時間の目安：約2時間半※ランチ・ディナー共に食材に限りがあるため完全予約制とさせていただきます。■ 定休日水曜日と不定期で月2回程お休みを頂いております。【※12月の休業日のお知らせ※】4(水)10(火)11(水)17(火)18(水)19(木)26(水)30(月)31(火)はお休みとさせていただきます、また27(金)～29(日)は年末の特別営業となりますので営業時間とコース料金が変わっておりますご確認ください。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69461443798781,135.5121946774008",06-6809-2820,大阪府大阪市北区天神橋1-13-15 大阪グリーン会館 102,412
The Tabelog Award 2024 Bronze 受賞店,ad hoc ,新福島駅 332m , フレンチ,アンティークモダンをテーマにした空間で季節感と素材をいかした現代風フレンチをお楽しみ下さい,"￥20,000～￥29,999","￥20,000～￥29,999",3.96,,https://tabelog.com/osaka/A2701/A270108/27080791/,予約可,・ネットからご予約が取れない日でもお席に空きがある可能性がございます。一度お電話にてお問い合わせください。・予約の際、アレルギーや苦手な食材があればお伺いいたします。・コース料金に関しては消費税・サービス料込みの記載になっております。・1名様利用をご希望のお客様はお電話にてお問い合わせ下さいませ。※1日1組のみとなっております。,JR東西線「新福島駅」から徒歩3分JR環状線「福島駅」から徒歩5分JR東海道本線「大阪駅」から徒歩13分阪神本線「福島駅」から徒歩3分京阪中之島線「中之島駅」から徒歩3分地下鉄四ツ橋線「西梅田駅」から徒歩11分 新福島駅から332m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69443753798059,135.48917427741515",06-6225-8814,大阪府大阪市福島区福島1-1-48 ,385
