awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
,トムクリオーザ,北新地駅 201m , イタリアン,,"￥20,000～￥29,999","￥20,000～￥29,999",4.12,-,https://tabelog.com/osaka/A2701/A270101/27135015/,予約可,ご予約は予約サイトOMAKASEでのみ承っております。お電話では承っておりません。よろしくお願い申し上げます。・ご予約当日のキャンセル（もしくは減少した人数）　コース料金の100％・ご予約の前営業日でのキャンセル（もしくは減少した人数）　コース料金の50%キャンセル料といたしまして頂戴いたします。上記の内容のご理解の程、 何卒よろしくお願い致します。,JR北新地駅 11-23口　徒歩7分　地下御堂筋線　淀屋橋駅　7番出口　徒歩10分JR大阪駅徒歩15分京阪　大江橋 1番口　徒歩5分 北新地駅から201m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.697083737981714,135.4979912774357",050-3188-6885,大阪府大阪市北区曽根崎新地1-2-7 櫻ビル 3F,164
食べログ イタリアン WEST 百名店 2023 選出店,グシテ,天満橋駅 452m , イタリアン,,"￥20,000～￥29,999","￥20,000～￥29,999",4.12,木曜日,https://tabelog.com/osaka/A2701/A270104/27093817/,予約可,基本的にお任せのコース料理、好みは聞いてもらえる,京阪電車　天満橋歩いて5分 天満橋駅から452m,18:00 - 00:00,■ 定休日月１回(不定休),カード可 （JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69338183799018,135.51722377738483",06-6809-7376,大阪府大阪市北区天満2-7-1 末澤ビル 1F,144
,IAKU ,北新地駅 105m , フレンチ、イタリアン、イノベーティブ,ライブ感溢れる空間で、厳選食材から生まれる革新的なコース料理を五感で愉しむ,"￥20,000～￥29,999","￥20,000～￥29,999",3.94,,https://tabelog.com/osaka/A2701/A270101/27130596/,完全予約制,キャンセル料について希少な食材を取り寄せて調理をしておりますので、3日前からのキャンセルの場合、キャンセル料を頂戴しております。・予約日3日前(0:00)〜　50%・予約日1日前(0:00)〜 100%ご了承の上ご予約下さいませ。,JR北新地駅から徒歩3分　※11-21出口JR大阪駅から徒歩10分地下鉄西梅田駅から徒歩3分 北新地駅から105m,18:00 - 22:00,■ 営業時間当店は、『一斉スタート』での営業とさせていただきます。開始10分前より入店頂けます。到着が遅れる場合は、ご連絡お願いします。■ 定休日月によっては日曜日営業の日有り,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済不可,"34.69747879205874,135.4967364295947",06-6131-8819,大阪府大阪市北区曽根崎新地1-3-30 北新地KOHDAビル6階606B号室,102
The Tabelog Award 2024 Bronze 受賞店,クイントカント,渡辺橋駅 211m , イタリアン,【イタリアンの進化系】モダン＆クラシックな空間で食す多彩な高級イタリアン,"￥15,000～￥19,999","￥15,000～￥19,999",3.89,,https://tabelog.com/osaka/A2701/A270108/27073813/,予約可,※アレルギーやお苦手な食材がございましたら事前に当店までお知らせ下さい。※16歳未満の方のご来店はご遠慮いただいております。身分証のご提示をお願いする場合もございます。ご協力をお願い致します。※当店はコース料理のみ。アラカルトはございません。※ワインや食材のお持ち込みはお断りさせて頂いております。,京阪 中之島線 「渡辺橋」より徒歩5分四ツ橋線「肥後橋」北改札口より徒歩10分ダイビル館内からは入店はできません。当店の入口は外からのみとなっております(ダイビル本館の西側) 渡辺橋駅から211m,12:00 - 15:00L.O. 料理13:00,■ 営業時間《ランチ》 13:00最終入店《ディナー》 20:00最終入店■ 定休日無休　※臨時休業あり,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69326963798239,135.49249087740102",06-6479-1811,大阪府大阪市北区中之島3-6-32 ダイビル本館 1F,908
,十皿,大江橋駅 273m , イノベーティブ、イタリアン、海鮮,,"￥10,000～￥14,999","￥10,000～￥14,999",3.88,日曜日、祝日,https://tabelog.com/osaka/A2701/A270101/27106878/,完全予約制,※※ご予約の際は、十皿ホームページのネット予約、またはお電話で承ります※※,JR東西線北新地より徒歩10分大阪メトロ淀屋橋駅より徒歩約8分東梅田駅より徒歩約15分 大江橋駅から273m,12:00 - 15:00,■ 営業時間●当店は、『一斉スタート』での営業とさせていただきます。※開始15分前より入店頂けます。※到着が遅れる場合は、必ずご連絡お願いします。お客様には、ご不便をおかけするかと存じますが、精一杯努めてまいります。,カード可 電子マネー不可 QRコード決済可 （PayPay）,"34.695957137983754,135.50213617742142",06-7709-1283,大阪府大阪市北区西天満2-7-26 徳矢ビル 1F,235
食べログ ステーキ・鉄板焼き WEST 百名店 2024 選出店,北新地 福多亭 The Ukai,北新地駅 244m , ステーキ、イタリアン、ワインバー,“世界ベストステーキ11””ミシュラン”等で評価された”窯焼きステーキ”と本格的イタリアン,"￥20,000～￥29,999","￥20,000～￥29,999",3.79,,https://tabelog.com/osaka/A2701/A270101/27066944/,完全予約制,※当日キャンセルは料理代金の100％を頂戴致します。※代理予約等はお断りさせて頂きます。(We don't accept proxy reservations.)※香水、オーデコロン等強い香りをまとってのご来店はご遠慮いただけますようお願い申し上げます。,北新地駅　徒歩約1分 北新地駅から244m,12:00 - 14:30L.O. 14:00,電話予約の受付は14：00～16：00とさせて頂きます。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69800453798149,135.49909937744422",06-6341-8588,大阪府大阪市北区曽根崎新地1丁目11-19 北新地スタービル Ｂ１,359
食べログ イタリアン WEST 百名店 2023 選出店,ポンテ ベッキオ,北浜駅 42m , イタリアン,,"￥15,000～￥19,999","￥15,000～￥19,999",3.77,-,https://tabelog.com/osaka/A2701/A270102/27000522/,予約可,・勝手ながら原則として中学生未満の方はご遠慮いただいております。・当日のキャンセル及び人数が減られた場合、お料理代金をキャンセル料として申し受けます。,大阪メトロ堺筋線北浜駅・京阪電車北浜駅直結。 北浜駅から42m,11:30 - 14:00,■ 定休日水曜日・木曜日　(年末年始12月31日～1月3日),カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69144203798826,135.5073061773722",06-6229-7770,大阪府大阪市中央区北浜1-8-16 大阪証券取引所ビル　１Ｆ,510
,WINE食堂 緒乃,北新地駅 164m , イタリアン、ワインバー,シェフが手間を惜しまず仕上げた渾身のお料理とソムリエ厳選のワインが気軽に愉しめるワイン食堂,"￥15,000～￥19,999","￥15,000～￥19,999",3.76,,https://tabelog.com/osaka/A2701/A270101/27124092/,予約可,5～6名の個室のご予約も承ります。お電話でご相談ください。,北新地駅西梅田駅 北新地駅から164m,18:00 - 00:00L.O. 料理23:00 ドリンク23:30,※臨時休業する場合がございます。夏季休業・年末年始休業致します。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69738213798145,135.49777727743884",06-6342-1118,大阪府大阪市北区曾根崎新地1-2-22 北リンデンビル 4F,97
,ラ ピニャータ,堺筋本町駅 371m , イタリアン、ステーキ、肉料理,【堺筋本町駅徒歩5分】南イタリア料理とイタリアワインのお店,"￥8,000～￥9,999","￥8,000～￥9,999",3.73,,https://tabelog.com/osaka/A2701/A270106/27072091/,予約可,当日の時間変更は必ずお電話でお問い合わせ下さい。尚、当時のキャンセルはコース料金の100%頂きます。中学生以下のお子様でネット予約でご予約をされる場合はネット予約とお電話でもお知らせ下さい。※店内が大変込み合うため宜しくお願い致します。※チャージ料　席のみ予約ディナーお一人様660円。※お一人様ワンドリンク制。※テーブル席又はカウンター席直前に変更の可能も御座います。,地下鉄御堂筋線本町駅12番出口から徒歩７分地下鉄堺筋線堺筋本町駅11番出口から徒歩５分［2号店　マンジャ エ ベーヴィ!!  地下鉄御堂筋線本町駅７番出口より徒歩約3分3号店　イタリアンバールラピニャータ　梅田イノゲート大阪内バルチカ03エキウエ5階] 堺筋本町駅から371m,17:00 - 23:00L.O. 23:00,■ 営業時間17:00~23:00(L.o)■ 定休日日曜日月2回不定休9月6日(金)営業再開します！2号店のマンジャエベーヴィ!!はランチ、ディナー共に営業致します。3号店が7月に梅田バルチカ03にイタリアンバールラピニャータがOpenしました！,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,"34.679372737995,135.5043819772523",06-6226-8570,大阪府大阪市中央区南久宝寺町2-5-3 ときわビル 1F,418
食べログ イタリアン WEST 百名店 2023 選出店,Pluie dete,北新地駅 33m , フレンチ、イタリアン,《北新地駅2分》～Pluie d'été劇場開幕～ （フレンチレストラン）,"￥5,000～￥5,999","￥5,000～￥5,999",3.72,,https://tabelog.com/osaka/A2701/A270101/27116251/,予約可,"当日キャンセルの場合はコース料金100％、前日キャンセルはコース料金50％のキャンセル料を頂戴致しております。当店無断キャンセル及び、他店無断キャンセルをされているお客様は、ご予約を取り消しさせていただくことがございます。仮予約・二重予約はキャンセル処理させていただきます。X,masと年末の予約キャンセルは5日前から50％キャンセル料　当日キャンセル料100％となります。",大阪メトロ四ツ橋線「西梅田」より徒歩1分JR東西線「北新地」より徒歩2分JR「大阪」駅より徒歩6分 北新地駅から33m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69866153798018,135.4963065774528",06-6342-5517,大阪府大阪市北区梅田1-3-1-100 大阪駅前第一ビル 1F,741
