awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Bronze 受賞店,和洋酒菜 ひで,心斎橋駅 335m , 居酒屋,,"￥8,000～￥9,999","￥8,000～￥9,999",4.07,-,https://tabelog.com/osaka/A2701/A270201/27013057/,完全予約制,,心斎橋駅から335m,,,カード不可 電子マネー不可 QRコード決済不可,"34.67163783799918,135.50205007717582",非設置,大阪府大阪市中央区心斎橋筋2-1-3 ,276
食べログ 居酒屋 WEST 百名店 2024 選出店,ながほり,玉造（大阪メトロ）駅 470m , 居酒屋、創作料理、日本料理,,"￥10,000～￥14,999","￥10,000～￥14,999",3.83,月曜日、日曜日、祝日,https://tabelog.com/osaka/A2701/A270204/27000581/,予約可,,JR玉造駅　地下鉄玉造徒歩10分地下鉄谷町線谷町六丁目駅から徒歩約15分長堀通り、空堀町交差点を北へ（坂道を上がる。）左手前方にファミリーマート有り。ファミリーマートの次の角を左折、右手に3軒目。目印は白い蔵作り風の一軒家、前庭、格子戸有り。看板表札等は無く、二階部分のすり硝子の窓に「ながほり」と書いて有りますが、夜間は見え難いかもしれません。 玉造駅（大阪メトロ）から470m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.676546938003604,135.52575827720878",06-6768-0515,大阪府大阪市中央区上町1-3-9 ,394
食べログ アジア・エスニック WEST 百名店 2024 選出店,ホッホ,天満駅 287m , 韓国料理、居酒屋,,"￥8,000～￥9,999","￥8,000～￥9,999",3.81,-,https://tabelog.com/osaka/A2701/A270103/27135839/,予約可,,天満駅から287m,,,カード不可 電子マネー不可 QRコード決済不可,"34.70727173177952,135.51361834108056",080-4484-3597,大阪府大阪市北区池田町9-9 ,117
食べログ うどん WEST 百名店 2024 選出店,極楽うどん TKU,玉造（ＪＲ）駅 118m , うどん、カレーうどん、居酒屋,,～￥999,～￥999,3.78,-,https://tabelog.com/osaka/A2701/A270204/27042400/,予約不可,,・JR大阪環状線「玉造駅」(東口)より徒歩１分・Osaka Metro 長堀鶴見緑地線「玉造駅」(４番出口)より徒歩２分 玉造駅（ＪＲ）から118m,11:00 - 15:00,■ 営業時間※各営業時間は、麺が無くなり次第終了■ 定休日不定休(年末年始は休みあり),カード不可 電子マネー可 QRコード決済可 （PayPay）,"34.674275638007565,135.5336507771803",06-6981-1333,大阪府大阪市東成区東小橋1-1-4 ,1185
食べログ そば WEST 百名店 2024 選出店,まき埜,福島駅 414m , そば、居酒屋、天ぷら,,"￥1,000～￥1,999","￥1,000～￥1,999",3.77,水曜日,https://tabelog.com/osaka/A2701/A270108/27002682/,予約可,夜18時~18時30分まで予約可。おひとり様ワンドリンク以上の注文をお願いしています。,ＪＲ環状線「福島」駅または「大阪」駅下車　徒歩約１０分大阪市バス「福島６丁目」バス停下車　徒歩１分 福島駅から414m,,,カード不可 電子マネー不可 QRコード決済可 （PayPay）,"34.70018283797702,135.48940687747302",06-6453-2828,大阪府大阪市福島区福島6-11-13 シャトー西梅田 1F,765
食べログ 焼き鳥 WEST 百名店 2024 選出店,炭匠 御厨,南森町駅 354m , 焼き鳥、鳥料理、居酒屋,,"￥15,000～￥19,999","￥15,000～￥19,999",3.77,-,https://tabelog.com/osaka/A2701/A270103/27106249/,完全予約制,予約はテーブルチェックからのみです。詳しくはインスタグラムをご覧下さい。,南森町駅から徒歩5分なにわ橋駅から徒歩8分東梅田駅・北新地駅からも徒歩圏内です。 南森町駅から354m,,,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"34.6984342379838,135.50723377744282",06-6948-5563,大阪府大阪市北区西天満5-10-4 ,174
食べログ 焼き鳥 WEST 百名店 2024 選出店,炭火焼鳥 いこか,堺筋本町駅 546m , 焼き鳥、居酒屋、日本料理,厳選地鶏を最高級備長炭で丁寧に焼き上げる極上の炭火焼鳥とこだわりの地酒が楽しめる隠れ家串屋,"￥6,000～￥7,999","￥6,000～￥7,999",3.76,-,https://tabelog.com/osaka/A2701/A270106/27092595/,予約可,"【予約受付可能時間】13:00〜22:00※営業時間中は繋がりにくい場合がございますのでお昼の時間帯もご利用ください。・当日のキャンセルはご遠慮ください。（ご来店1時間以内のキャンセルにつきましては1人辺り4,400円のキャンセル料をいただきます。）・御来店時間が15分以上遅れる場合はご連絡ください。・お席のお時間は2時間程度でお願いします。",地下鉄堺筋線北浜駅 徒歩8分地下鉄堺筋線堺筋本町駅 徒歩7分 堺筋本町駅から546m,18:00 - 22:30L.O. 22:00,■ 営業時間ネタが無くなり次第終了とさせていただきます。・連絡なく30分以上遅れた場合は御予約が無効になる場合がございます。・当日のご予約の大幅な時間変更は16時までにご連絡ください。■ 定休日不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.6861502379925,135.51008337731676",06-6949-8976,大阪府大阪市中央区大手通3-3-3 ,295
食べログ 焼き鳥 WEST 百名店 2024 選出店,炭焼巧房　源,福島駅 217m , 焼き鳥、居酒屋、水炊き,,"￥6,000～￥7,999","￥6,000～￥7,999",3.74,,https://tabelog.com/osaka/A2701/A270108/27049377/,予約可,ネット予約キャンセルについて営業が始まるとネット状況を見れないのでお手数ですが当日の食べログネット予約のキャンセルは必ずお電話にてお願いいたします。小さいお店の為、お席の指定はできません。営業時間は17時〜22時閉店です。料理を1人で作ってるので提供にお時間をいただく事をご了承くださいませ。,JR環状線福島駅下車徒歩３分程です。わからない時はお気軽にお問い合わせくださいね。 福島駅から217m,17:00 - 22:00L.O. 料理21:00 ドリンク21:30,■ 定休日基本は日・月たまに変更あります。,カード不可 電子マネー不可 QRコード決済不可,"34.699000637976596,135.48573787746363",06-6345-0722,大阪府大阪市福島区福島7-13-7 福島ビル北館　1F,341
食べログ 中国料理 WEST 百名店 2024 選出店,さんま黒焦げ食堂,天満駅 114m , 中華料理、立ち飲み、居酒屋,,"￥10,000～￥14,999","￥10,000～￥14,999",3.74,-,https://tabelog.com/osaka/A2701/A270103/27122740/,予約可,現在2023年４月度営業開始しました,天満駅から114m,,,カード不可 電子マネー不可 QRコード決済不可,"34.70604013798049,135.51201417751633",070-3884-7249,大阪府大阪市北区天神橋4-12-21 伍代ビル 1F,176
食べログ 焼き鳥 WEST 百名店 2024 選出店,鶏匠 膳,新福島駅 76m , 焼き鳥、居酒屋,,"￥8,000～￥9,999","￥8,000～￥9,999",3.74,水曜日,https://tabelog.com/osaka/A2701/A270108/27120782/,予約可,カウンター席のご予約は、 2部制につき平日 18時開始の部と20時30分開始の部休日 17時開始の部と19時30分開始の部でご予約承ります。,JR東西線「新福島駅」徒歩2分JR環状線「福島駅」   徒歩7分 新福島駅から76m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.694272737979574,135.48566477741593",06-6345-6555,大阪府大阪市福島区福島3-12-20 ツインコート福島 1F,139
食べログ 焼き鳥 WEST 百名店 2024 選出店,炭火焼鳥 きち蔵,阿波座駅 383m , 焼き鳥、居酒屋,,"￥5,000～￥5,999","￥5,000～￥5,999",3.73,日曜日、祝日,https://tabelog.com/osaka/A2701/A270105/27060726/,予約可,,大阪メトロ中央線 阿波座から徒歩約5分 阿波座駅から383m,,,カード不可 電子マネー不可 QRコード決済不可,"34.678796137990474,135.48901487725726",06-6531-0638,大阪府大阪市西区立売堀3-5-20 ,215
食べログ 焼き鳥 WEST 百名店 2024 選出店,炭火焼鳥とり央,新福島駅 139m , 焼き鳥、日本料理、居酒屋,,"￥8,000～￥9,999","￥8,000～￥9,999",3.73,日曜日,https://tabelog.com/osaka/A2701/A270108/27103401/,予約可,コース営業です。一品3品お任せ串８串地鶏スープ〆ご飯で、1人前6.000円（税込み）頂戴しております。追加で一品料理、追加串、締めメニューたくさんご用意しております。,JR東西線 ／ 新福島駅(2号出入口) 徒歩2分 新福島駅から139m,17:00 - 22:30L.O. 22:00,■ 定休日土曜日、祝日は不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.694389537979916,135.48696967741623",06-6147-8280,大阪府大阪市福島区福島2-7-17 1F,172
食べログ カレー WEST 百名店 2024 選出店,コロンビア エイト 北浜本店,北浜駅 418m , カレー、バー、居酒屋,,"￥1,000～￥1,999","￥1,000～￥1,999",3.71,月曜日、日曜日、祝日,https://tabelog.com/osaka/A2701/A270102/27015618/,予約不可,,京阪電車北浜駅から徒歩5分。地下鉄堺筋線北浜駅から徒歩4分。 北浜駅から418m,11:00 - 15:00,8/13より、定休日変更。定休日：月・日・祝,カード不可 電子マネー不可 QRコード決済可 （PayPay）,"34.68820863799073,135.5086144773386",06-6203-7788,大阪府大阪市中央区道修町1-3-3 エビス道修町ビル２Ｆ,922
食べログ うどん WEST 百名店 2024 選出店,うどん居酒屋 麦笑,森ノ宮駅 443m , うどん、居酒屋、食堂,,"￥2,000～￥2,999","￥2,000～￥2,999",3.71,,https://tabelog.com/osaka/A2701/A270107/27013801/,予約可,・25名様以上で貸切ご希望の際はお電話にてご相談ください。・混雑状況によってはお席のご利用時間2時間制とさせて頂く場合がございます。,JR森ノ宮駅より徒歩5分、地下鉄森の宮駅5番出口より徒歩5分JR玉造駅より徒歩5分、地下鉄玉造駅3号出口より5分ほど 森ノ宮駅から443m,11:00 - 14:30,■ 営業時間昼・入店14:00迄夜・入店21:00迄※お昼はご来店順のご案内です。夜はお席のみのご予約も承ります。臨時休業、貸切など店舗最新情報はホームページにてご確認頂けます。「mugiudn0507」で検索可,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"34.67791773800585,135.53556627721574",06-6971-0972,大阪府大阪市東成区中道1-10-19 ,410
