awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
食べログ ラーメン OSAKA 百名店 2023 選出店,カドヤ食堂 総本店,西長堀駅 366m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺)、ラーメン・つけ麺(油そば・まぜそば),,"￥1,000～￥1,999","￥1,000～￥1,999",3.8,火曜日,https://tabelog.com/osaka/A2701/A270105/27001084/,予約不可,,大阪メトロ長堀鶴見緑地線・千日前線　西長堀駅　4-A出口より徒歩3分大阪駅より大阪シティバス55号白髪橋バス停下車徒歩7分 西長堀駅から366m,10:00 - 15:00,■ 定休日第2第4の水曜日(祝日関係なく休み),カード不可 電子マネー不可 QRコード決済不可,"34.676094737990546,135.48384077723358",06-6535-3633,大阪府大阪市西区新町4-16-13 キャピタル西長堀 1F,2792
食べログ ラーメン OSAKA 百名店 2023 選出店,ラーメン人生JET,福島駅 156m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺)、ラーメン・つけ麺(油そば・まぜそば),,"￥1,000～￥1,999","￥1,000～￥1,999",3.77,-,https://tabelog.com/osaka/A2701/A270108/27050827/,予約不可,,・JR大阪環状線「福島」駅より、徒歩２分・JR東西線「新福島」駅(１番出口)より、徒歩５分 福島駅から156m,,,カード不可 電子マネー不可 QRコード決済不可,"34.69860823797711,135.4865981774591",06-6345-7855,大阪府大阪市福島区福島7-12-2 ,2937
食べログ ラーメン OSAKA 百名店 2023 選出店,燃えよ麺助,福島駅 96m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.77,月曜日,https://tabelog.com/osaka/A2701/A270108/27091454/,予約不可,,JR大阪環状線「福島」駅から徒歩1分JR東西線「新福島」駅(1番出口)から徒歩2分阪神電鉄「福島」駅から徒歩2分 福島駅から96m,11:00 - 15:00,■ 定休日月曜（※祝日の場合も）,カード不可 電子マネー不可 QRコード決済不可,"34.69635773797863,135.48685867743615",06-6452-2101,大阪府大阪市福島区福島5-12-21 ,2443
食べログ ラーメン OSAKA 百名店 2023 選出店,麦と麺助,中津（大阪メトロ）駅 280m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.77,火曜日,https://tabelog.com/osaka/A2701/A270101/27104891/,予約不可,,大阪メトロ中津駅より東に歩いて4分ほど 中津駅（大阪メトロ）から280m,,,カード不可 電子マネー不可 QRコード決済不可,"34.71133533797331,135.50001067757825",不明の為情報お待ちしております,大阪府大阪市北区豊崎3-4-12 ,1728
食べログ ラーメン OSAKA 百名店 2023 選出店,中華そば うえまち,谷町六丁目駅 404m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺)、ラーメン・つけ麺(油そば・まぜそば),,-,-,3.77,月曜日,https://tabelog.com/osaka/A2701/A270204/27069769/,予約不可,,・大阪メトロ谷町線「谷町六丁目」駅(１番出口)より、徒歩６分・大阪メトロ長堀鶴見緑地線「谷町六丁目」駅(７番出口)より、徒歩４分 谷町六丁目駅から404m,11:00 - 14:30,■ 営業時間材料切れで夜営業休みの日も多いです。※売り切れ次第終了■ 定休日月曜（※祝日でも定休）,カード不可 電子マネー不可 QRコード決済不可,"34.676865438001904,135.5210562772153",06-6762-5311,大阪府大阪市中央区上町A番22号 ,1502
食べログ ラーメン OSAKA 百名店 2023 選出店,人類みな麺類,南方駅 44m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.76,-,https://tabelog.com/osaka/A2701/A270301/27064584/,予約不可,,・阪急京都線・南方駅から徒歩0分・地下鉄御堂筋線・西中島南方駅から徒歩1分・JR・新大阪駅から徒歩10分↓食べログで自動付与される「人類みな麺類」に関する交通情報です 南方駅から44m,,,カード不可 電子マネー不可 QRコード決済不可,"34.72546206669035,135.49918048395008",不明の為情報お待ちしております,大阪府大阪市淀川区西中島1-12-15 ,3895
食べログ ラーメン OSAKA 百名店 2023 選出店,ストライク軒,天神橋筋六丁目駅 180m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.76,-,https://tabelog.com/osaka/A2701/A270103/27074457/,予約不可,,地下鉄堺筋線または谷町線/天神橋筋六丁目駅12番出口から徒歩約2分JR大阪環状線/天満駅から徒歩約5分 天神橋筋六丁目駅から180m,11:00 - 23:00,■ 営業時間L.O22:30祝日 営業学生証提示にて、〆めし無料ライス購入者大盛り無料‼︎■ 定休日月に一度月曜休み（社員たちと食材研修ツアーの為）。要確認（Xを確認してください）,カード不可 電子マネー不可 QRコード決済不可,"34.708175637978826,135.5110398775386",06-6352-0633,大阪府大阪市北区天神橋5-8-8 ,2079
食べログ ラーメン OSAKA 百名店 2023 選出店,中華蕎麦 葛,本町駅 571m , ラーメン・つけ麺(ラーメン),,-,-,3.76,金曜日,https://tabelog.com/osaka/A2701/A270106/27087256/,予約不可,※ 途中からの合流はせず、全員集まってから並んでください。,地下鉄四つ橋線本町駅徒歩2分本町駅23出口から徒歩約1分(133m時間：1分)阿波座駅2出口から徒歩約7分(614m時間：7分)西大橋駅2出口から徒歩約9分(772m時間：9分) 本町駅から571m,11:00 - 16:00,■営業時間11:00(10:45頃)～16:00■定休日金曜日【年4回 4連休】,カード不可 電子マネー不可 QRコード決済不可,"34.68136643237469,135.49499925033336",非公開,大阪府大阪市西区阿波座1-12-21 喜多ビル 1F,1591
食べログ ラーメン OSAKA 百名店 2023 選出店,中華そば 無限,海老江駅 200m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(油そば・まぜそば),,"￥1,000～￥1,999","￥1,000～￥1,999",3.76,火曜日,https://tabelog.com/osaka/A2701/A270108/27053626/,予約可,公式インスタグラムよりテーブルチェックにて予約可能です。,・JR東西線「海老江」駅(２番出口)より、徒歩３分・地下鉄千日前線「野田阪神」駅(２番出口)より、徒歩４分・阪神本線「野田」駅より、徒歩５分 海老江駅から200m,11:00 - 15:00,■ 営業時間スープ売り切れ次第終了,カード不可 電子マネー不可 QRコード決済不可,"34.69660233797381,135.4722004774489",非公開,大阪府大阪市福島区海老江5-5-10 ,1332
食べログ ラーメン OSAKA 百名店 2023 選出店,らーめん颯人,南森町駅 241m , ラーメン・つけ麺(ラーメン),,-,-,3.76,-,https://tabelog.com/osaka/A2701/A270103/27083921/,予約不可,,地下鉄谷町線・堺筋線 南森町駅とJR東西線 大阪天満宮駅の地下鉄２号出入口から徒歩３分位 南森町駅から241m,,,カード不可 電子マネー不可 QRコード決済不可,"34.69561653798648,135.51003507741243",06-6312-8276,大阪府大阪市北区南森町1-2-2 ,1250
食べログ ラーメン OSAKA 百名店 2023 選出店,麺や而今 大東本店,鴻池新田駅 908m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.76,火曜日,https://tabelog.com/osaka/A2707/A270704/27054613/,予約不可,,JR片町線「鴻池新田」駅(南口)より、徒歩13分 鴻池新田駅から908m,11:00 - 14:00,■ 営業時間※食材切れ次第終了,カード不可 電子マネー不可 QRコード決済不可,"34.69911253801534,135.60761937737934",072-873-0147,大阪府大東市灰塚6-7-9 ,1201
