awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
食べログ そば WEST 百名店 2024 選出店,蕎麦 たかま,天神橋筋六丁目駅 473m , そば,,-,-,3.79,月曜日、火曜日,https://tabelog.com/osaka/A2701/A270103/27000530/,予約不可,,天神橋筋6丁目駅　4番出口もしくは6番出口より　北へ徒歩5分 天神橋筋六丁目駅から473m,11:30 - 14:30,■ 営業時間※売り切れ次第終了,カード不可 電子マネー不可 QRコード決済不可,"34.714044537975106,135.51106157759784",06-6882-8844,大阪府大阪市北区天神橋7-12-14 グレーシィ天神橋ビル１号館,776
食べログ そば WEST 百名店 2024 選出店,まき埜,福島駅 414m , そば、居酒屋、天ぷら,,"￥1,000～￥1,999","￥1,000～￥1,999",3.77,水曜日,https://tabelog.com/osaka/A2701/A270108/27002682/,予約可,夜18時~18時30分まで予約可。おひとり様ワンドリンク以上の注文をお願いしています。,ＪＲ環状線「福島」駅または「大阪」駅下車　徒歩約１０分大阪市バス「福島６丁目」バス停下車　徒歩１分 福島駅から414m,,,カード不可 電子マネー不可 QRコード決済可 （PayPay）,"34.70018283797702,135.48940687747302",06-6453-2828,大阪府大阪市福島区福島6-11-13 シャトー西梅田 1F,765
食べログ そば WEST 百名店 2024 選出店,そば切り 荒凡夫,なにわ橋駅 363m , そば,,"￥1,000～￥1,999","￥1,000～￥1,999",3.75,火曜日,https://tabelog.com/osaka/A2701/A270103/27080059/,予約可,営業時間中ピーク時はほぼ、仕込み中もタイミングで　電話に出られないことが多い。,地下鉄｢南森町駅｣から徒歩約8分京阪｢なにわ橋駅｣から徒歩約6分京阪・地下鉄｢淀屋橋駅｣｢北浜駅｣より徒歩約10分 なにわ橋駅から363m,11:30 - 15:00,■ 営業時間売り切れ仕舞■ 定休日twitter確認要　臨時休業あり,カード不可 電子マネー不可 QRコード決済不可,"34.6963568379845,135.50530947742322",06-6315-6767,大阪府大阪市北区西天満4-1-11 昭栄ビル南館 1F,308
食べログ そば WEST 百名店 2024 選出店,そば切り 岳空,谷町六丁目駅 259m , そば,,"￥4,000～￥4,999","￥4,000～￥4,999",3.74,月曜日、日曜日,https://tabelog.com/osaka/A2701/A270204/27096691/,予約可,,地下鉄谷町6丁目　徒歩３分 谷町六丁目駅から259m,11:30 - 14:30L.O. 料理14:00,【定休日】隔週火曜夜の部は予約制です。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.67333653800316,135.51798037718183",06-7708-1515,大阪府大阪市中央区谷町7-1-54 ,185
食べログ そば WEST 百名店 2024 選出店,そば切り文目堂,谷町六丁目駅 129m , そば,,"￥2,000～￥2,999","￥2,000～￥2,999",3.71,日曜日,https://tabelog.com/osaka/A2701/A270204/27040266/,予約不可,,地下鉄 谷町線/鶴見緑地線　谷町6丁目駅徒歩約1分鶴見緑地線　松屋町駅より徒歩約3分谷町線　谷町四丁目駅より徒歩約5分 谷町六丁目駅から129m,11:30 - 14:30,■ 営業時間蕎麦売り切れしまい■ 定休日第三月曜日,カード不可 電子マネー不可 QRコード決済不可,"34.67638933800062,135.51603647721402",06-7504-5260,大阪府大阪市中央区安堂寺町2-2-26 ,642
食べログ そば WEST 百名店 2024 選出店,手打そば 乃田,郡津駅 109m , そば,,"￥1,000～￥1,999","￥1,000～￥1,999",3.71,火曜日,https://tabelog.com/osaka/A2707/A270704/27013548/,予約不可,夜はご予約可能です。,京阪交野線/郡津駅から徒歩スグ 郡津駅から109m,11:30 - 14:30,■ 営業時間2015年4月から開店時間を30分繰り下げました月曜日は昼のみ■ 定休日第３月（祝祭日の場合は翌日）,カード不可 電子マネー不可 QRコード決済可 （PayPay）,"34.793757451080396,135.66904545446",072-892-2301,大阪府交野市松塚14-5-104 ,433
食べログ そば WEST 百名店 2024 選出店,大阪 松下,中崎町駅 406m , そば,,"￥1,000～￥1,999","￥1,000～￥1,999",3.71,月曜日,https://tabelog.com/osaka/A2701/A270101/27086760/,予約可,,中崎町駅から406m,,,カード不可 電子マネー不可 QRコード決済可,"34.70913191328167,135.5017196360549",06-6377-1553,大阪府大阪市北区鶴野町4 ,369
食べログ うどん WEST 百名店 2024 選出店,千とせ 本店,難波（南海）駅 209m , うどん、そば,,～￥999,～￥999,3.7,火曜日、金曜日,https://tabelog.com/osaka/A2701/A270202/27002763/,予約不可,,大阪市営地下鉄御堂筋線「なんば」駅から徒歩5分南海電車「難波」駅から徒歩3分 難波駅（南海）から209m,10:30 - 14:30,■ 営業時間売り切れ次第終了,カード不可 電子マネー不可 QRコード決済不可,"34.66407833800459,135.50400117709808",06-6633-6861,大阪府大阪市中央区難波千日前8-1 ,1680
食べログ そば WEST 百名店 2024 選出店,蕎麦人 秋,北浜駅 353m , そば、居酒屋、日本料理,１０月で独立５周年を迎え１つの節目として屋号「北浜土山人」から「蕎麦人 秋」に変更致します。,"￥3,000～￥3,999","￥3,000～￥3,999",3.7,月曜日,https://tabelog.com/osaka/A2701/A270102/27003569/,予約可,,地下鉄御堂筋線 淀屋橋駅 11番出口 徒歩5分地下鉄堺筋線 北浜駅 6番出口 徒歩3分 北浜駅から353m,11:30 - 14:30,■ 営業時間ランチタイムはご予約不可。■ 定休日11/17他、正月、GW、お盆,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.68916633798889,135.504722077351",06-6202-0069,大阪府大阪市中央区伏見町2-4-10 ,595
食べログ そば WEST 百名店 2024 選出店,なにわ翁,なにわ橋駅 348m , そば,,"￥1,000～￥1,999","￥1,000～￥1,999",3.7,月曜日、日曜日,https://tabelog.com/osaka/A2701/A270102/27000029/,予約不可,,JR大阪駅 徒歩15分。京阪中之島線なには橋駅から徒歩４分 なにわ橋駅から348m,,,カード可 （AMEX） 電子マネー不可 QRコード決済可,"34.69623793798478,135.5059277774216",06-6361-5457,大阪府大阪市北区西天満4-1-18 ,548
食べログ そば WEST 百名店 2024 選出店,笑日志,北浜駅 488m , そば,,"￥2,000～￥2,999","￥2,000～￥2,999",3.7,火曜日、土曜日,https://tabelog.com/osaka/A2701/A270102/27067994/,予約可,✩ご予約は夜営業のみ承ります（ご飲食のお客様のみ。蕎麦だけでの予約は不可）✩蕎麦の取り置きは昼・夜営業共承ります,地下鉄堺筋線北浜駅 5番出口 徒歩5分京阪本線北浜駅 30番出口 徒歩5分 北浜駅から488m,11:30 - 14:00L.O. 13:30,■ 定休日火・土曜日 １1/5・6　16～19休業,カード不可 電子マネー不可 QRコード決済不可,"34.68778223799124,135.50935487733375",06-6232-3733,大阪府大阪市中央区平野町1-1-2 ,294
食べログ そば WEST 百名店 2024 選出店,はやうち,四天王寺前夕陽ケ丘駅 311m , そば、日本酒バー,,"￥4,000～￥4,999","￥4,000～￥4,999",3.7,水曜日,https://tabelog.com/osaka/A2701/A270203/27049805/,予約可,お昼は11時半スタートのお昼の蕎麦膳（税込4200円）のお客様のみご予約をお受けさせていただきます。,地下鉄谷町線「四天王寺前夕陽ヶ丘」駅４番出口から南へ徒歩３分 四天王寺前夕陽ケ丘駅から311m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"34.65560103801321,135.51414347700535",06-6773-2858,大阪府大阪市天王寺区四天王寺1-12-16 ,271
食べログ そば WEST 百名店 2024 選出店,そば切り 鴨嘴,美章園駅 200m , そば,,"￥2,000～￥2,999","￥2,000～￥2,999",3.7,火曜日,https://tabelog.com/osaka/A2701/A270203/27103579/,予約不可,夜営業のみ予約可能。,JR阪和線 美章園駅 徒歩3分近鉄南大阪線 河堀口駅 徒歩7分近鉄南大阪線 北田辺駅 徒歩8分 美章園駅から200m,,,カード不可 電子マネー不可 QRコード決済不可,"34.636648638028696,135.52495867680634",06-6713-9813,大阪府大阪市東住吉区北田辺1-4-9 ,157
食べログ そば WEST 百名店 2024 選出店,守破離 谷町四丁目店,谷町四丁目駅 243m , そば、天ぷら,,"￥4,000～￥4,999","￥4,000～￥4,999",3.69,-,https://tabelog.com/osaka/A2701/A270104/27017751/,予約可,ランチタイムの予約不可,地下鉄中央線又は谷町線  谷町四丁目駅⑥番出口から北西へ徒歩3分 谷町四丁目駅から243m,11:30 - 15:00L.O. 14:30,■ 定休日年中無休（年始休業）,カード可 （VISA、Master） 電子マネー不可 QRコード決済不可,"34.68226383799641,135.51460617727432",06-6944-8808,大阪府大阪市中央区常盤町1-3-20 安藤ビル　１Ｆ,822
食べログ うどん WEST 百名店 2024 選出店,爽月,粉浜駅 90m , うどん、そば、居酒屋,,"￥1,000～￥1,999","￥1,000～￥1,999",3.69,木曜日、金曜日,https://tabelog.com/osaka/A2701/A270404/27051701/,予約可,,南海本線　粉浜駅より徒歩1分阪堺線　東粉浜駅より徒歩3分大阪メトロ四つ橋線　玉出駅より徒歩10分 粉浜駅から90m,,,カード不可 電子マネー不可 QRコード決済不可,"34.6173235380302,135.49115457663484",06-6606-8092,大阪府大阪市住之江区粉浜2-11-3 ,427
食べログ そば WEST 百名店 2024 選出店,梵保庵,宇野辺駅 580m , そば,,"￥1,000～￥1,999","￥1,000～￥1,999",3.69,火曜日、水曜日、木曜日、金曜日,https://tabelog.com/osaka/A2706/A270602/27011715/,予約不可,,大阪モノレール宇野辺駅徒歩から徒歩8分くらい阪急バス　三保ヶ池停留所　すぐ 宇野辺駅から580m,,,カード不可 電子マネー不可 QRコード決済不可,"34.80336123793134,135.55177117847148",06-6877-0999,大阪府吹田市新芦屋下27-5 ,120
食べログ そば WEST 百名店 2024 選出店,蕎麦切りmasa,本町駅 601m , そば,,"￥2,000～￥2,999","￥2,000～￥2,999",3.68,月曜日,https://tabelog.com/osaka/A2701/A270106/27053444/,予約不可,,四つ橋線本町駅28番出口徒歩5分 本町駅から601m,11:30 - 14:00,■ 営業時間売り切れ迄,カード不可 電子マネー不可 QRコード決済不可,"34.6845219144533,135.49421250372177",06-6225-3030,大阪府大阪市西区靭本町1丁目16-12 ,217
食べログ そば WEST 百名店 2024 選出店,いもせ,玉造（大阪メトロ）駅 233m , そば,,"￥2,000～￥2,999","￥2,000～￥2,999",3.68,月曜日、火曜日、水曜日,https://tabelog.com/osaka/A2701/A270204/27012387/,予約可,,玉造駅より徒歩７分 玉造駅（大阪メトロ）から233m,,,カード不可 電子マネー不可 QRコード決済不可,"34.676698838004754,135.52969417720755",06-6762-5147,大阪府大阪市中央区玉造2-9-2 ,151
