awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Bronze 受賞店,Fujiya 1935,谷町四丁目駅 498m , イノベーティブ、スペイン料理,,"￥30,000～￥39,999","￥30,000～￥39,999",4.27,日曜日,https://tabelog.com/osaka/A2701/A270106/27001070/,予約可,,谷町四丁目３番出口出て、本町通西へ、松屋町筋内本町２交差点左折左側。堺筋本町２番出口中央大通り東へ、松屋町筋左折右側に有ります。徒歩５分程。 谷町四丁目駅から498m,12:00 - 13:00,■ 定休日第一月曜日,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.68303723799507,135.51193237728404",06-6941-2483,大阪府大阪市中央区鎗屋町2-4-14 ,560
食べログ スペイン料理 百名店 2024 選出店,アラルデ,西大橋駅 600m , スペイン料理、ヨーロッパ料理,シンプルさの奥に輝くガストロ・センス。スペイン、バスク料理の精髄を表現。,"￥15,000～￥19,999","￥15,000～￥19,999",4.06,-,https://tabelog.com/osaka/A2701/A270106/27090095/,完全予約制,18:00〜22:00あたりの営業時間内でのお電話は大変つながりにくくなっております。お急ぎでのご予約ご希望のお客様はポケットコンシェルジュの予約サイトから空席を確認の上、ご予約お願い致します。ほぼ毎日18:30あたりの一斉スタートです。※多少の遅れでのご来店でもご利用いただけます。ぜひご検討いただきご連絡お待ちしております。,鶴見緑地線 【西大橋駅】 2番出口  北へ600m  徒歩６分四つ橋線【本町駅】23番出口  西へ300ｍ　徒歩３分中央線  【阿波座駅】2番出口 東へ700m 徒歩８分※御堂筋線からですと23番出口まで徒歩10分くらいとなります。大阪駅からタクシーのほうが速いです。ご注意ください。 西大橋駅から600m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.68083425027424,135.49403741027228",06-6616-9825,大阪府大阪市西区阿波座1-14-4 サインカンパニービル 1F,186
食べログ スペイン料理 百名店 2024 選出店,アサドール ロカ,淀屋橋駅 507m , スペイン料理,,"￥15,000～￥19,999","￥15,000～￥19,999",3.89,日曜日,https://tabelog.com/osaka/A2701/A270102/27100677/,予約可,,京阪・地下鉄「淀屋橋駅」から徒歩約7分京阪・地下鉄「北浜駅」から徒歩約8分地下鉄「本町駅」から徒歩約10分 淀屋橋駅から507m,17:00 - 22:00,■ 営業時間最終入店20:00,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.68759536347737,135.50375323652437",06-6121-2400,大阪府大阪市中央区平野町2-6-4 アトレ三休平野町ビル 1F,67
食べログ スペイン料理 百名店 2024 選出店,エニェ,堺筋本町駅 252m , スペイン料理,スペインの名店に足跡を刻んできたシェフによる、日本の食材で紡ぐ創造的モダンスパニッシュ,"￥15,000～￥19,999","￥15,000～￥19,999",3.79,月曜日,https://tabelog.com/osaka/A2701/A270106/27086016/,予約可,■WEBでのご予約は下記「ホームページ」に記載されているURLをクリック！！『Reservation』⇒『専用フォームでのご予約』よりご予約お願いいたします。※24時間受付しております。 ,堺筋本町12番出口 堺筋本町駅から252m,18:00 - 23:00L.O. 19:30,■ 営業時間※土日のディナー、18:00のみの受付の場合有り※新型コロナウイルス感染拡大防止のための営業時間短縮要請が発令中は営業時間が変更となります、ご確認下さい。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.68398388358851,135.5082341417759",050-3503-1420,大阪府大阪市中央区安土町1-6-3 エステムプラザ本町クロス 1F,233
食べログ スペイン料理 百名店 2024 選出店,上六ワイン,大阪上本町駅 301m , スペイン料理、ワインバー、ダイニングバー,【大阪上本町駅5分】上質な大人の空間で、スペイン料理とワインで特別な夜を味える上六の隠れ家,"￥15,000～￥19,999","￥15,000～￥19,999",3.79,日曜日、祝日,https://tabelog.com/osaka/A2701/A270205/27136410/,予約可,12月分のご予約は終了いたしました。2025年1月分のご予約については12月1日お昼12時から食べログからのみご予約開始させていただきます。※お電話やSNS、その他媒体でのご予約は受け付けておりません。,大阪上本町駅　徒歩　5分谷町九丁目駅　徒歩　10分 大阪上本町駅から301m,18:00 - 00:00L.O. 料理21:30 ドリンク23:30,■ 定休日日曜日、祝日、不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"34.668256838007466,135.52135167712814",050-1395-5207,大阪府大阪市天王寺区東高津町4-15 ,111
食べログ スペイン料理 百名店 2024 選出店,エチョラ,本町駅 292m , スペイン料理、海鮮、ステーキ,【本町駅スグ】“山小屋”をイメージした大人の空間で、美食の都バスク地方の伝統料理を堪能◎,"￥8,000～￥9,999","￥8,000～￥9,999",3.73,,https://tabelog.com/osaka/A2701/A270106/27051135/,予約可,,大阪市営地下鉄・御堂筋線「本町駅」05番出口から徒歩5分　　　　　　　　四つ橋線「本町駅」25番出口から徒歩1分 本町駅から292m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、iD） QRコード決済可 （PayPay）,"34.68444953798963,135.4976740773083",06-6136-3824,大阪府大阪市西区靱本町1-4-2 プライム本町ビルディング 1F,567
食べログ スペイン料理 百名店 2024 選出店,アマ・ルール,渡辺橋駅 224m , スペイン料理,,"￥8,000～￥9,999","￥8,000～￥9,999",3.7,月曜日,https://tabelog.com/osaka/A2701/A270101/27064735/,予約可,,ＪＲ　東西線　北新地駅 徒歩5分 大阪市営地下鉄　四つ橋線　西梅田駅 徒歩5分 大阪市営地下鉄　四つ橋線　肥後橋駅 徒歩5分京阪　中之島線　渡辺橋駅　徒歩5分 渡辺橋駅から224m,11:30 - 13:30,■ 営業時間11:30～(L.O.13:30)※現在はコースとアラカルトのみの営業です,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69584598152139,135.4942422576478",06-6451-8383,大阪府大阪市北区堂島2-1-16 フジタ東洋紡ビル 1F,245
食べログ スペイン料理 百名店 2024 選出店,Donostia Comeru。,東梅田駅 114m , スペイン料理、バル,,"￥4,000～￥4,999","￥4,000～￥4,999",3.68,-,https://tabelog.com/osaka/A2701/A270101/27125693/,予約可,,阪神「大阪梅田駅」から徒歩約4分 東梅田駅から114m,11:00 - 23:00,【定休日】阪神百貨店梅田本店の休業日に準じる,カード可 （VISA、Master、JCB、AMEX） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY、Alipay、WeChat Pay）,"34.70120881622499,135.49853498755567",06-6345-1201,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店 B2F,119
食べログ スペイン料理 百名店 2024 選出店,デュカ,なにわ橋駅 496m , スペイン料理、ワインバー,,"￥10,000～￥14,999","￥10,000～￥14,999",3.66,日曜日,https://tabelog.com/osaka/A2701/A270103/27097780/,予約可,HPよりWEB予約のみ受付お電話、SNSよりは受け付けできませんのでご了承ください。,地下鉄東梅田、南森町、JR北新地などから徒歩８分なにわ橋、北浜、淀屋橋などから徒歩10分HPにて詳細明記。 なにわ橋駅から496m,19:00 - 22:00,■ 営業時間ランチ※ご予約のみ　仕込みやディナー準備で手が回らない為、基本1組か2組様までしか受付しておりませんのでゆっくりして頂けると思います。ディナーご予約の方はコース開始のお時間(17時半から20時)にてご来店頂けます。ご予約なしのお客様は19時からのご案内です（軽食のみ）※当店にウェイティングスペースはございません。ランチ、ディナー共に早くご来店いただいても何も対応できないのでお気をつけください。■ 定休日日曜日（月一回不定休あり。HPやSNSにてご案内。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69756266051723,135.50546013585404",非公開,大阪府大阪市北区西天満4-3-13 西天満河合ビル 1F,61
食べログ スペイン料理 百名店 2024 選出店,ガストロテカ ビメンディ,本町駅 303m , スペイン料理、バル、カフェ,【本町駅5分】ピンチョスやタパスなどの本格バスク料理×ワインが楽しめるバル◆ペット同伴OK,"￥6,000～￥7,999","￥6,000～￥7,999",3.63,,https://tabelog.com/osaka/A2701/A270102/27081431/,予約可,,大阪市営地下鉄四つ橋線「本町駅」25番出口徒歩５分 本町駅から303m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay）,"34.68459752142706,135.49761916176223",06-6479-1506,大阪府大阪市西区靭本町1-5-9 ボヌールエイワ 1F,353
