awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Gold 受賞店,鮨 三心,谷町六丁目駅 316m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",4.49,-,https://tabelog.com/osaka/A2701/A270204/27095402/,完全予約制,毎月1日AM8時～ネット予約サイトOMAKASEにて翌月分のみ受付,谷町六丁目駅から徒歩5~6分。6番出口が一番近いです 谷町六丁目駅から316m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.67814793800021,135.5182836772302",06-6767-0677,大阪府大阪市中央区内久宝寺町2-7-14 ,416
The Tabelog Award 2024 Bronze 受賞店,鮨 おおが,宿院駅 84m , 寿司,特別なルートで揃える至高のマグロを食べ比べ。「弥助」の若き四代目が切り拓く、新世代の握り,"￥50,000～￥59,999","￥50,000～￥59,999",4.36,-,https://tabelog.com/osaka/A2705/A270501/27104114/,完全予約制,,南海電鉄・堺駅より徒歩10分 宿院駅から84m,,,カード可 （AMEX） 電子マネー不可 QRコード決済不可,"34.57623729041563,135.4728642623126",072-221-1818,大阪府堺市堺区大町東1-2-7 ,357
The Tabelog Award 2024 Bronze 受賞店,鮓 きずな,京橋駅 453m , 寿司,,"￥20,000～￥29,999","￥20,000～￥29,999",4.29,月曜日,https://tabelog.com/osaka/A2701/A270107/27041868/,完全予約制,現在は新規は予約不可,ＪＲ大阪環状線京橋駅徒歩８分京阪電車京橋駅徒歩９分大阪市営地下鉄京橋駅徒歩１０分 京橋駅から453m,18:00 - 23:00,■ 営業時間[火～土]18:00～、20:40～の２回転[日・祝]17:00～、19:40〜の2回転。■ 定休日第３火曜日,カード可 （VISA、Master） 電子マネー不可 QRコード決済不可,"34.70105183799054,135.53361337745082",06-6922-5533,大阪府大阪市都島区都島南通2-4-9 藤美ハイツ　１Ｆ,580
The Tabelog Award 2024 Bronze 受賞店,尽誠,心斎橋駅 333m , 寿司,一期一会の宴を楽しむ「尽誠」劇場。潔く旨い江戸前鮨を大阪で堪能する。,"￥20,000～￥29,999","￥20,000～￥29,999",4.22,-,https://tabelog.com/osaka/A2701/A270201/27000411/,予約可,電話は16時以降にお願いします。,地下鉄御堂筋線　心斎橋駅　4分 心斎橋駅から333m,,,カード不可,"34.67167923799915,135.50208847717622",090-8124-5536,大阪府大阪市中央区心斎橋筋2-1-3 ,285
The Tabelog Award 2024 Bronze 受賞店,寿し おおはた,大江橋駅 275m , 寿司,赤、白、ロゼ。3種のシャリを使い分ける大畑流の握りで“関西風江戸前鮨”の完成を目指す,"￥15,000～￥19,999","￥15,000～￥19,999",4.19,-,https://tabelog.com/osaka/A2701/A270101/27057420/,完全予約制,,JR東西線北新地駅　徒歩5分地下鉄四つ橋線西梅田駅　徒歩5分 大江橋駅から275m,,,カード不可 電子マネー不可,"34.69602363798231,135.49774007742516",070-3842-4261,大阪府大阪市北区堂島1-4-8 廣ビル 2F,331
食べログ 寿司 WEST 百名店 2022 選出店,大阪天満宮 鮨とよなが,大阪天満宮駅 86m , 寿司,,"￥30,000～￥39,999","￥30,000～￥39,999",4.08,土曜日、日曜日、祝日,https://tabelog.com/osaka/A2701/A270103/27105145/,完全予約制,,大阪天満宮から徒歩1分 大阪天満宮駅から86m,17:30 - 23:00,"■ 営業時間①17時30分~20時00分②20時30分~23時00分おまかせ35,000円(税込)",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.696832137986796,135.51340407742236",050-3647-2538,大阪府大阪市北区天神橋2-5-3 1Ｆ,216
食べログ 寿司 WEST 百名店 2022 選出店,鮨処 多田,北新地駅 136m , 寿司,,"￥40,000～￥49,999","￥40,000～￥49,999",4.05,日曜日,https://tabelog.com/osaka/A2701/A270101/27003367/,完全予約制,紹介制です,JR東西線北新地駅より徒歩５分 北新地駅から136m,,,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済不可,"34.697851537981165,135.49780377744355",06-6346-7227,大阪府大阪市北区曽根崎新地1-5-26 永楽リンデンビル　 4F,287
,mikami limited50,四ツ橋 , 寿司,,"￥40,000～￥49,999","￥40,000～￥49,999",4.05,-,https://tabelog.com/osaka/A2701/A270201/27124954/,完全予約制,50人限定の完全会員制予約は会員のみ可,非公開,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"0.0,0.0",不明の為情報お待ちしております,大阪府大阪市 ,65
食べログ 寿司 WEST 百名店 2022 選出店,鮨　Shizuku,長堀橋駅 309m , 寿司、海鮮、日本料理,【長堀橋、心斎橋より徒歩数分】最高の食材を最高の状態で皆様にお届けいたします。,"￥20,000～￥29,999","￥20,000～￥29,999",4.01,水曜日,https://tabelog.com/osaka/A2701/A270201/27093524/,予約可,※現在、食べログからの電話受付ができない状況となりますので、問い合わせやご予約に関しましては、ページ下部にある「店舗ホームページのURL」にアクセス頂き、内容をご確認の上ご連絡ください。,長堀駅からミナミへ下り、周防町通り（ヨーロッパ通り）を西へ折れて３分心斎橋駅からミナミへ下り、周防町通り（ヨーロッパ通り）を東へ折れて７分 長堀橋駅から309m,18:00 - 23:00,■ 営業時間第一部　18：00～20：30第二部　21:00～23：00,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可,"34.67181986186402,135.50565686031706",06-6212-0955,大阪府大阪市中央区東心斎橋2-1-27 周防町ウィングス 1F,268
食べログ 寿司 WEST 百名店 2022 選出店,弥助,宿院駅 61m , 寿司,堺の街で愛され続ける老舗寿司屋。匠の技ともてなしの心が紡ぐ、時代を超えた珠玉の一貫に酔う,"￥20,000～￥29,999","￥20,000～￥29,999",3.93,木曜日,https://tabelog.com/osaka/A2705/A270501/27001079/,予約可,1名での予約はお断り,南海電鉄・堺駅　徒歩10分 宿院駅から61m,12:00 - 13:30,■ 定休日他、お盆・年末年始,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.57635199644861,135.47263983122585",072-221-3355,大阪府堺市堺区大町東1-1-18 ,257
