awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Bronze 受賞店,とんかつ マンジェ,八尾駅 337m , とんかつ,食する者を一瞬で虜にする唯一無二の味わい。日本各地から客が押し寄せる極上とんかつに唸る。,"￥2,000～￥2,999","￥2,000～￥2,999",4.24,月曜日、火曜日,https://tabelog.com/osaka/A2707/A270705/27013624/,予約不可,,JR関西本線（大和路線）八尾下車　徒歩５分八尾駅北口から、商店街を抜けて道なりに行くと、その道沿いにあります 八尾駅から337m,11:00 - 14:00,■年末年始の営業について12月30日(月)は臨時営業日とさせていただきます。■ 営業時間《昼60名様 夜40名様 にて 受け付け終了とさせて頂きます》尚、昼・夜  共 朝8時30分より受け付け開始です■ 定休日月・火曜日(祝日でもお休みです),カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,"34.6200641380626,135.59837947658735",072-996-0175,大阪府八尾市陽光園2-3-22 ,1985
食べログ とんかつ 百名店 2024 選出店,とんかつ 乃ぐち,中津（阪急）駅 249m , とんかつ、かつ丼,,"￥6,000～￥7,999","￥6,000～￥7,999",4.09,-,https://tabelog.com/osaka/A2701/A270101/27126154/,完全予約制,予約は【OMAKASE とんかつ乃ぐち】で検索OMAKASEでのみ受付,阪急中津駅から徒歩6分御堂筋線中津から徒歩8分Googleマップを利用しないと辿り着けません電話での道案内は不可 中津駅（阪急）から249m,,,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済可 （PayPay）,"34.71204313797075,135.49339487759002",050-3091-1052,大阪府大阪市北区中津3-14-2 平家アパート 1F,348
食べログ とんかつ 百名店 2024 選出店,とんかつ中村,千林大宮駅 213m , とんかつ,,"￥2,000～￥2,999","￥2,000～￥2,999",3.77,月曜日,https://tabelog.com/osaka/A2701/A270304/27092639/,予約可,当店のとんかつは低温調理にてご提供しております。メニューによりますが15分から30分ほど提供までにお時間頂戴しております。あらかじめご了承ください。,地下鉄谷町線、千林大宮駅1番出口より徒歩3分。京阪本線、千林駅西口より徒歩3分 千林大宮駅から213m,11:00 - 15:00L.O. 14:30,■ 営業時間11:00 - 15:00(L.O. 料理14:30 / ドリンク14:30)17:30 - 21:00(L.O. 料理20:00 / ドリンク20:00)■ 定休日月曜日、不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay） QRコード決済可 （PayPay）,"34.72440443798139,135.55150777767415",06-7164-4153,大阪府大阪市旭区千林2-8-15 ,410
食べログ とんかつ 百名店 2024 選出店,とんかつ ふじ井,千林駅 87m , とんかつ,,"￥3,000～￥3,999","￥3,000～￥3,999",3.76,火曜日、金曜日,https://tabelog.com/osaka/A2701/A270304/27131908/,予約可,ランチ11:00 11:30 12:15  12:45 13:15 13:45からの60分制ディナー17:30 18:00 19:15 19:45からの90分制※営業中や定休日は電話に出られません。,京阪千林駅徒歩2分地下鉄清水駅徒歩7分地下鉄千林大宮駅徒歩8分 千林駅から87m,11:00 - 14:45L.O. 13:45,■ 営業時間ラストオーダーを過ぎますと御入店出来ません。■ 定休日火曜日と金曜日。他に不定休有り11月は月曜日も休みます。12月の不定休日は12/2 12/18 12/30です12/8と12/15は昼のみ営業です。◾️ネットからの予約のみ　とんかつふじ井で検索ください,カード可 （VISA、Master、JCB、AMEX、Diners、UnionPay） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay） QRコード決済不可,"34.72377273798269,135.5542937776658",080-3773-2929,大阪府大阪市旭区千林1-11-5 ,315
食べログ とんかつ 百名店 2024 選出店,epais,北新地駅 299m , とんかつ、洋食、カレー,【年末年始休暇のお知らせ】12/27ディナー〜1/5までお休みいただきます,"￥5,000～￥5,999","￥5,000～￥5,999",3.74,,https://tabelog.com/osaka/A2701/A270101/27072441/,予約可,お席のみのご予約の場合、アラカルトでのご案内となります。当日コースへの変更は承っておりません。,ＪＲ北新地駅より徒歩8分 北新地駅から299m,11:00 - 15:00,■ 営業時間11:00～15:00 （食材がなくなり次第終了）北新地epaisではランチのご予約はお電話にて承っております。ディナー予約のみネット予約〇,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"34.697575612060945,135.49958478987128",06-6347-6599,大阪府大阪市北区曽根崎新地1-9-3 ニュー華ビル 3F,754
食べログ とんかつ 百名店 2024 選出店,ニューベイブ,谷町四丁目駅 471m , とんかつ、ダイニングバー,,"￥3,000～￥3,999","￥3,000～￥3,999",3.73,-,https://tabelog.com/osaka/A2701/A270104/27121557/,予約可,ランチ(9月は予約可能)ディナー予約可能,地下鉄谷町四丁目駅から徒歩5分地下鉄堺筋本町駅から徒歩5分 谷町四丁目駅から471m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"34.68311373799513,135.5122548772846",090-6669-9083,大阪府大阪市中央区内本町2-3-8 ダイヤパレスビル 1F,653
食べログ 食堂 百名店 2024 選出店,とんかつ ひろ喜 徳庵本店,徳庵駅 498m , 食堂、コロッケ、とんかつ,,"￥1,000～￥1,999","￥1,000～￥1,999",3.69,水曜日、日曜日,https://tabelog.com/osaka/A2707/A270703/27043187/,予約可,,JR学研都市線「徳庵駅」から徒歩10分近鉄小阪、八戸ノ里より近鉄バス徳庵行き稲田バス停下車すぐ 徳庵駅から498m,,,カード不可 電子マネー不可 QRコード決済可 （PayPay、au PAY）,"34.68796893801412,135.58157807728503",06-4309-0106,大阪府東大阪市稲田本町3-20-11 ,599
食べログ とんかつ 百名店 2024 選出店,涿屋,東梅田駅 225m , とんかつ、豚料理,,"￥8,000～￥9,999","￥8,000～￥9,999",3.69,日曜日、祝日,https://tabelog.com/osaka/A2701/A270101/27002290/,完全予約制,予約の時は、電話の呼び出しベルを長めにして下さい。宜しくお願い致します。,地下鉄梅田、西梅田、淀屋橋から徒歩15分。 東梅田駅から225m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、nanaco、WAON） QRコード決済可 （d払い、楽天ペイ、au PAY）,"34.69914123798143,135.5011869774542",050-5539-7009,大阪府大阪市北区曽根崎2-5-37 1F,269
,とんかつ 康四郎,長堀橋駅 420m , とんかつ,,"￥8,000～￥9,999","￥8,000～￥9,999",3.69,月曜日、日曜日,https://tabelog.com/osaka/A2701/A270201/27134224/,予約可,「昼」は、ご予約なくても空席あれば、何時でもご案内致します。ご予約の場合は、①11時～ ②12時15分～ ③13時30分～の3部制にて承っております。「夜」は、前日までのご予約で、コース料理1種のみとなります。「昼」「夜」ともに、予約受付サイトTableCheckが便利です。お電話でも承っております。,①心斎橋駅「2番」出口へ　（クリスタ長堀地下街に出る）②クリスタ長堀の「北10」階段を上がる　（地上に出る）③御堂筋を300ｍ北へ　（車の進行方向の逆方向へ）④「南船場3北」交差点を右折、　（ハリーウィストン)270m東へ⑤一つ目の信号交差点、右斜め前の2階　（1階がセントラルキッチンの建物） 長堀橋駅から420m,11:00 - 13:30,※祝日でも、日曜月曜の場合はお休み頂きます+不定休(※最新情報はInstagramよりお確かめくださいませ）■ 営業時間の詳細「昼」一部：11時～12時二部：12時15分～13時15分三部：13時30分～14時30分「夜」18時30分～一斉スタート※前日までの予約必須/2名～6名様以上の貸し切りの場合はご相談ください。,カード可 電子マネー不可 QRコード決済可 （PayPay）,"34.6775269379959,135.50352057723427",06-4307-6546,大阪府大阪市中央区南船場2-10-24 2F,113
,天神橋 中村屋,南森町駅 86m , 惣菜・デリ、とんかつ、コロッケ,,～￥999,～￥999,3.68,日曜日、祝日,https://tabelog.com/osaka/A2701/A270103/27003769/,予約不可,,地下鉄/堺筋線・谷町線「南森町」駅(4b出口)から徒歩1分JR東西線「大阪天満宮」駅から徒歩1分 南森町駅から86m,09:00 - 18:00,（月~金）9:00~18:00(2024.7～)（土）9:00~16:00,カード不可 電子マネー不可 QRコード決済不可,"34.69710003798605,135.5116473774263",06-6351-2949,大阪府大阪市北区天神橋2-3-21 ,1157
食べログ とんかつ 百名店 2024 選出店,とんかつ ますいや,今福鶴見駅 528m , とんかつ、洋食、ステーキ,,"￥1,000～￥1,999","￥1,000～￥1,999",3.68,火曜日,https://tabelog.com/osaka/A2701/A270305/27004283/,予約可,,地下鉄　長堀鶴見緑地線　今福鶴見駅　徒歩5分 今福鶴見駅から528m,,,カード不可,"34.704613137995246,135.55548167747142",06-6934-8425,大阪府大阪市城東区今福東3-3-23 ,512
食べログ とんかつ 百名店 2024 選出店,エペ クープ,吹田（ＪＲ）駅 148m , とんかつ、日本料理、食堂,,"￥3,000～￥3,999","￥3,000～￥3,999",3.67,日曜日,https://tabelog.com/osaka/A2706/A270602/27092131/,予約可,※ランチの予約はしていません。 ディナーのみ予約可能。※ご来店頂き満席時の場合は、店内にて、お名前、お電話番号、人数をお伺いし、空き次第こちらからお電話するシステムとなっておりますが、外でお並び頂くと近隣店舗に迷惑を掛けてしまうので行っています。ご予約ではありませんので、必ずお近くでお待ちください。   ※ランチタイム中は電話に出れませんのでオープン前までにお問い合わせ等お願いします。,吹田駅より 徒歩1分　お車でお越しのお客様は駅周辺のコインパーキングに止めてからお越しください。提携パーキングはありません。 吹田駅（ＪＲ）から148m,11:00 - 14:00,✩ランチは予約できません。食材がなくなり次第終了ですので、ラストオーダーはありません✩ディナーは予約可能です。ディナーの最終入店時刻は19時30分です。11/4㈷は営業致します。■祝日は不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY、Alipay、WeChat Pay）,"34.761963237948834,135.5241480780727",06-6318-2244,大阪府吹田市元町5-5 ,295
食べログ とんかつ 百名店 2024 選出店,とん亭,寺田町駅 265m , とんかつ、コロッケ,,"￥1,000～￥1,999","￥1,000～￥1,999",3.65,月曜日,https://tabelog.com/osaka/A2701/A270203/27011174/,予約不可,,JR大阪環状線「寺田町駅」から徒歩4分大阪市営バス「寺田町」停留所すぐ 寺田町駅から265m,11:30 - 15:30L.O. 15:00,■ 定休日第2・3火曜,カード不可 電子マネー不可 QRコード決済不可,"34.65005393801927,135.52207067694377",06-6779-0565,大阪府大阪市天王寺区大道4-1-2 ,615
食べログ 洋食 百名店 2023 選出店,新富士本店,岸里玉出駅 485m , 洋食、とんかつ、豚料理,,"￥1,000～￥1,999","￥1,000～￥1,999",3.64,水曜日、木曜日,https://tabelog.com/osaka/A2701/A270406/27019800/,予約可,,２６号線「岸里南」交差点を西へ、３筋目の田端公園端の角を北に行ったところにあります。 岸里玉出駅から485m,,,カード不可 電子マネー不可 QRコード決済不可,"34.6298412380217,135.4893952767625",06-6657-2121,大阪府大阪市西成区千本南2丁目3-5 ,446
,ニューとん助,北加賀屋駅 544m , 洋食、とんかつ、ハンバーグ,,"￥1,000～￥1,999","￥1,000～￥1,999",3.64,水曜日、木曜日、日曜日,https://tabelog.com/osaka/A2701/A270404/27084692/,予約不可,,大阪市営地下鉄四つ橋線北加賀屋駅徒歩8分 北加賀屋駅から544m,10:40 - 13:20,5月より定休日が日、水、木になりました。,カード不可 電子マネー不可 QRコード決済不可,"34.61677933802739,135.48126527663626",06-6685-4096,大阪府大阪市住之江区中加賀屋3-1-22 ,260
