awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
食べログ うどん WEST 百名店 2024 選出店,手造りうどん 楽々,郡津駅 915m , うどん,,-,-,3.94,月曜日、火曜日,https://tabelog.com/osaka/A2707/A270704/27011240/,予約不可,,＜電車を使う場合＞京阪交野線「郡津」駅より、徒歩13分＜自動車を使う場合＞東高野街道「出鼻橋」交差点の北村野浄水場手前にあります 郡津駅から915m,11:00 - 15:00,■ 営業時間※材料切れ次第、早仕舞いする場合あり2021/6/22より営業再開。,カード不可 電子マネー不可 QRコード決済不可,"34.80155273797174,135.6750119783668",072-891-8833,大阪府交野市幾野6-6-1 ,1620
食べログ うどん WEST 百名店 2024 選出店,讃岐うどん 白庵,神崎川駅 55m , うどん、カレーうどん,,～￥999,～￥999,3.85,火曜日、水曜日,https://tabelog.com/osaka/A2701/A270302/27014852/,予約不可,,阪急神戸本線「神崎川」駅より、徒歩１分大阪シティバス　69系統　十三市民病院バス停より徒歩9分（本数毎時約1本）（大阪駅より）大阪シティバス　97系統　三津屋バス停より徒歩13分（本数毎時約4本）（大阪駅、加島駅より） 神崎川駅から55m,11:00 - 15:00,10/29〜電話番号06-6868-9494■ 営業時間＊麺がなくなり次第終了させて頂きます。■ 定休日※他夏期休暇あり,カード不可 電子マネー不可 QRコード決済不可,"34.73196723795182,135.47370297780506",06-7656-5292,大阪府大阪市淀川区新高6-12-7 三和マンション 1F,1422
食べログ うどん WEST 百名店 2024 選出店,手打ちうどん 上を向いて,香里園駅 264m , うどん,,-,-,3.85,月曜日、火曜日,https://tabelog.com/osaka/A2707/A270702/27094977/,予約不可,※ベースにて予約席券を販売中。※詳細はInstagram・X(旧Twitter)等でご確認ください。,京阪電車香里園駅西へ徒歩約5分 香里園駅から264m,,,カード不可 電子マネー不可 QRコード決済不可,"34.783787237968134,135.62825837822015",050-5316-2341,大阪府寝屋川市香里南之町34-5 ,613
食べログ うどん WEST 百名店 2024 選出店,扇町うどん屋 あすろう,扇町駅 223m , うどん、カレーうどん,,-,-,3.83,水曜日、木曜日,https://tabelog.com/osaka/A2701/A270103/27110013/,予約不可,,扇町駅から223m,11:00 - 16:00,■ 営業時間麺切れ次第終了,カード不可 電子マネー不可 QRコード決済不可,"34.701751637982966,135.51123487747356",06-6358-8477,大阪府大阪市北区天神橋3-8-3 マチスビル 1F,639
食べログ うどん WEST 百名店 2024 選出店,Udon Kyutaro,本町駅 342m , うどん、天ぷら、日本料理,,-,-,3.82,日曜日、祝日,https://tabelog.com/osaka/A2701/A270106/27100801/,予約不可,,"地下鉄御堂筋線・中央線「本町駅」12番出口より徒歩約5分地下鉄堺筋線・中央線「堺筋本町駅」11番出口より徒歩約6分(※朝7時迄は閉鎖されている為、8番出口を利用)地下鉄御堂筋線「心斎橋駅」1,2番出口より徒歩約12分 本町駅から342m",07:00 - 10:00,◾️不定休あり ※Instagram参照平日も毎週1〜2日は休みがあるので注意。◾️各部麺がなくなり次第終了,カード不可 電子マネー不可 QRコード決済不可,"34.680868437993475,135.5025603772687",080-2516-2680,大阪府大阪市中央区久太郎町3-1-16 丼池繊維会館 1F ,1608
食べログ うどん WEST 百名店 2024 選出店,たけうちうどん店,中津（大阪メトロ）駅 298m , うどん、揚げ物,,-,-,3.79,日曜日、祝日,https://tabelog.com/osaka/A2701/A270101/27006684/,予約不可,,大阪市営バス34系統「豊崎北」バス停から徒歩3分地下鉄御堂筋線「中津駅」1番出口から徒歩5分 中津駅（大阪メトロ）から298m,11:30 - 14:30,■ 営業時間※麺売切れ次第閉店,カード不可 電子マネー不可 QRコード決済不可,"34.71240303797258,135.4998439775891",06-6375-0324,大阪府大阪市北区豊崎5-2-19 ,1494
食べログ うどん WEST 百名店 2024 選出店,うどん棒 大阪本店,東梅田駅 184m , うどん、天ぷら、うどんすき,,"￥1,000～￥1,999","￥1,000～￥1,999",3.78,月曜日、火曜日,https://tabelog.com/osaka/A2701/A270101/27003766/,予約不可,「オリーブ牛すき」のテイクアウトのご予約は3営業日前にお願いします。(冬季のみ）,・JR東西線「北新地」駅から徒歩5分・東梅田駅から徒歩5分・阪急梅田駅、JR大阪駅から徒歩12分程度 東梅田駅から184m,11:00 - 15:00,■ 営業時間※麺が無くなり次第終了。変更の可能性あり、SNS要確認※営業時間中の問い合わせはご遠慮ください■ 定休日不定休（※公式HPで毎月告知されます）,カード不可 電子マネー不可 QRコード決済可 （PayPay）,"34.699040437980955,135.4994980774544",06-6458-5518,大阪府大阪市北区梅田1-1-3 大阪駅前第3ビル B2F,2111
食べログ うどん WEST 百名店 2024 選出店,極楽うどん TKU,玉造（ＪＲ）駅 118m , うどん、カレーうどん、居酒屋,,～￥999,～￥999,3.78,-,https://tabelog.com/osaka/A2701/A270204/27042400/,予約不可,,・JR大阪環状線「玉造駅」(東口)より徒歩１分・Osaka Metro 長堀鶴見緑地線「玉造駅」(４番出口)より徒歩２分 玉造駅（ＪＲ）から118m,11:00 - 15:00,■ 営業時間※各営業時間は、麺が無くなり次第終了■ 定休日不定休(年末年始は休みあり),カード不可 電子マネー可 QRコード決済可 （PayPay）,"34.674275638007565,135.5336507771803",06-6981-1333,大阪府大阪市東成区東小橋1-1-4 ,1186
食べログ うどん WEST 百名店 2024 選出店,うどん屋 きすけ,中崎町駅 426m , うどん、天ぷら,,"￥1,000～￥1,999","￥1,000～￥1,999",3.76,火曜日,https://tabelog.com/osaka/A2701/A270101/27015342/,予約不可,,・地下鉄谷町線「中崎町」駅(２号出口)より、徒歩９分・地下鉄御堂筋線「中津」駅(３号出口)より、徒歩10分・阪急各線「阪急梅田」駅より、徒歩11分 中崎町駅から426m,12:00 - 16:00,■ 定休日第1・3・5水曜日,カード不可 電子マネー不可 QRコード決済不可,"34.709319037975106,135.50162717755674",06-6375-5656,大阪府大阪市北区鶴野町4-1 コープ野村梅田Ａ棟1F,1672
食べログ うどん WEST 百名店 2024 選出店,釜揚うどん一紀,今宮駅 350m , うどん、鍋,,"￥1,000～￥1,999","￥1,000～￥1,999",3.76,日曜日、祝日,https://tabelog.com/osaka/A2701/A270406/27059480/,予約不可,,JR今宮駅より徒歩約8分 今宮駅から350m,11:00 - 14:00,■ 営業時間[月～金]麺がなくなり次第終了[土]麺がなくなり次第終了,カード不可 電子マネー不可 QRコード決済不可,"34.6514705380084,135.49080637698",06-6568-1919,大阪府大阪市西成区南開1-6-10 ,549
