awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
食べログ うなぎ 百名店 2024 選出店,鰻家,西中島南方駅 203m , うなぎ,,"￥6,000～￥7,999","￥6,000～￥7,999",3.8,月曜日、日曜日、祝日,https://tabelog.com/osaka/A2701/A270301/27080635/,予約不可,当日に朝9:30から店の前で受付を開始。土曜日の夜のみ予約可。,御堂筋線　西中島南方駅下車　徒歩3分 西中島南方駅から203m,11:00 - 17:00,■ 営業時間売り切れ次第終了。お盆期間中 (2024.8.11～8.19) はお休み。,カード可 電子マネー不可 QRコード決済不可,"34.7273174379621,135.496673477742",06-6302-7200,大阪府大阪市淀川区西中島4-5-22 第3新大阪ビル 1F,477
食べログ うなぎ 百名店 2024 選出店,鰻 にしはら,谷町四丁目駅 417m , うなぎ、丼,【関東風鰻専門店】静岡の浜名湖で17年修業を積んだ店主が、地元大阪で鰻専門店を開きました。,"￥3,000～￥3,999","￥3,000～￥3,999",3.75,月曜日,https://tabelog.com/osaka/A2701/A270104/27081196/,予約可,何なりとご相談ください。,谷町四丁目駅より徒歩5分。天満橋駅より徒歩7分。 谷町四丁目駅から417m,11:00 - 14:00L.O. 13:45,■ 定休日第２火曜日,カード不可,"34.685246937994556,135.5147143773044",06-6926-4478,大阪府大阪市中央区北新町4-12 ,534
食べログ うなぎ 百名店 2024 選出店,魚伊 本店,関目高殿駅 261m , うなぎ、海鮮,,"￥4,000～￥4,999","￥4,000～￥4,999",3.7,-,https://tabelog.com/osaka/A2701/A270304/27003671/,予約可,2階個室はサービス料10％※6月～8月の土・日・祝日（お盆期間含む）は店内飲食のご予約不可,大阪メトロ谷町線「関目高殿」駅(5番出口)から徒歩5分京阪本線「関目」駅から徒歩10分 関目高殿駅から261m,10:00 - 22:00,■ 営業時間＜イートイン＞11:00～14:0016:00～22:00(L.O.21:00)＜お持ち帰り＞10:00～21:00■ 定休日第２火曜日（祝日の場合は営業）,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay、楽天ペイ）,"34.71467563798471,135.54248987758217",06-6953-3707,大阪府大阪市旭区高殿4-8-10 ,817
,ふくのや,大江橋駅 261m , 日本料理、うなぎ、ふぐ,,"￥10,000～￥14,999","￥10,000～￥14,999",3.68,日曜日、祝日,https://tabelog.com/osaka/A2701/A270101/27000137/,予約可,,JR北新地駅より徒歩5分 大江橋駅から261m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可,"34.696670837982595,135.49991717743018",06-6341-2908,大阪府大阪市北区曽根崎新地1-1-11 北陽ビル　１Ｆ,325
,伊賀喜,天満橋駅 46m , うなぎ、日本料理,,"￥3,000～￥3,999","￥3,000～￥3,999",3.68,日曜日,https://tabelog.com/osaka/A2701/A270104/27011949/,予約可,,地下鉄「天満橋駅」徒歩１分 天満橋駅から46m,,,カード不可 電子マネー不可 QRコード決済不可,"34.68894643799297,135.5171051773401",06-6941-5678,大阪府大阪市中央区谷町1丁目6-5 伊賀喜ビル,289
,うな次郎,大阪天満宮駅 221m , うなぎ,,"￥5,000～￥5,999","￥5,000～￥5,999",3.67,月曜日,https://tabelog.com/osaka/A2701/A270103/27040987/,予約可,予約は、1日あたりお昼二組、夜二組限定です。,地下鉄谷町線・堺筋線「南森町」駅３号出口、またはＪＲ東西線「大阪天満宮」駅１号出口から堀川小学校西側の通りを北へ徒歩４分 大阪天満宮駅から221m,11:00 - 14:00L.O. 13:30,■ 営業時間平日・祝日11:00～ラストオーダー13:30（14:00閉店）17:00～ラストオーダー20:00（21:00閉店）※ランチ.ディナーともに鰻がなくなり次第終了日曜日11:00〜ラストオーダー16:00（17:00閉店）※鰻がなくなり次第終了　夜の営業はありません■ 定休日月曜、第1火曜日、年末年始　その他,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,"34.69935183798496,135.51271447744827",06-6356-2239,大阪府大阪市北区紅梅町3-14 ヤマツタビル　1F,395
食べログ うなぎ 百名店 2024 選出店,吉寅,堺筋本町駅 361m , うなぎ、日本料理,,"￥5,000～￥5,999","￥5,000～￥5,999",3.66,土曜日、日曜日、祝日,https://tabelog.com/osaka/A2701/A270106/27001073/,予約可,,堺筋本町駅から徒歩１０分くらいりそな本店角の東行一方通行を東に。３軒目北側。 堺筋本町駅から361m,,,カード可 （JCB、AMEX） 電子マネー不可 QRコード決済不可,"34.68544513799202,135.5071499773117",06-6226-0220,大阪府大阪市中央区備後町1-6-6 ,419
,おく,大阪ビジネスパーク駅 270m , うなぎ、日本料理、ワインバー,国産のニホンウナギを土佐備長炭で焼き上げました。 ﾅﾁｭﾗﾙﾜｲﾝや日本酒とともに。,"￥10,000～￥14,999","￥10,000～￥14,999",3.63,,https://tabelog.com/osaka/A2701/A270107/27126909/,完全予約制,コース以外でのご利用は電話にて承っております。また、ネット予約が埋まっていても人数次第でご案内できる場合もございますのでお気軽にお問い合わせ下さい。お昼は基本現金でお願いしております。,京阪/JR京橋駅から徒歩約5分JR大阪城北詰・大阪メトロ長堀鶴見緑地線大阪ビジネスパークから徒歩約5分 大阪ビジネスパーク駅から270m,12:00 - 14:00,■ 定休日月曜日（祝日は営業する場合もございます）,カード可 電子マネー不可 QRコード決済不可,"34.694390637993635,135.530043077386",06-6360-9482,大阪府大阪市都島区片町2-1-37 ストークマンション 1F,70
,舟屋,寺田町駅 120m , うなぎ、弁当、丼,,"￥3,000～￥3,999","￥3,000～￥3,999",3.62,木曜日,https://tabelog.com/osaka/A2701/A270203/27010128/,予約不可,なんなりとお申し付けください。,JR環状線　寺田町駅から徒歩1分 寺田町駅から120m,11:30 - 15:00L.O. 14:30,■ 営業時間【店内お食事】7月1日より11：30～15:00（ラストオーダー14：30)売り切れ閉店16：30～19:00ラストオーダー18:30)売り切れ閉店【お持ち帰り】10:00〜20:00(売り切れ次第閉店）■ 定休日毎週木曜日及び毎月2日臨時休業あり,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,"34.648431538021015,135.52437437692575",06-6741-7625,大阪府大阪市生野区生野西2-1-34 ,385
,割烹 由多嘉,なにわ橋駅 438m , 日本料理、うなぎ、鍋,由多嘉は創業５０周年！ お1人様から広いお部屋でゆっくりくつろげる、安心のおもてなし。,"￥10,000～￥14,999","￥10,000～￥14,999",3.61,,https://tabelog.com/osaka/A2701/A270103/27004519/,予約可,,南森町駅より徒歩6分、なにわ橋駅より徒歩5分 なにわ橋駅から438m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.697047637984134,135.50550987743003",06-6365-6726,大阪府大阪市北区西天満4-3-8 ,86
