awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Bronze 受賞店,生ホルモン処 おさむちゃん。,津久野駅 856m , 焼肉、ホルモン,,"￥15,000～￥19,999","￥15,000～￥19,999",4.21,日曜日,https://tabelog.com/osaka/A2705/A270501/27052134/,完全予約制,,津久野駅から856m,,,カード不可 電子マネー不可 QRコード決済不可,"34.54216319198784,135.45895170880456",080-5322-0036,大阪府堺市西区鳳北町8-33-4 ,260
食べログ 焼肉 WEST 百名店 2024 選出店,つねちゃん,御陵前駅 855m , 焼肉、ホルモン,,"￥15,000～￥19,999","￥15,000～￥19,999",4.07,火曜日、水曜日,https://tabelog.com/osaka/A2705/A270501/27079111/,予約可,,南海バス御陵通3丁より徒歩10歩 御陵前駅から855m,,,カード可 （JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.565469286178924,135.47347554065786",072-232-8611,大阪府堺市堺区御陵通4-7 和伸ビル 1F,165
食べログ 焼肉 WEST 百名店 2024 選出店,京洛焼肉 ぽめ,長堀橋駅 312m , 焼肉,,"￥15,000～￥19,999","￥15,000～￥19,999",4.06,月曜日,https://tabelog.com/osaka/A2701/A270201/27119987/,予約可,ほぼコース料理のみ,地下鉄長堀橋駅徒歩３分地下鉄心斎橋駅徒歩８分近鉄日本橋駅徒歩８分 長堀橋駅から312m,,,カード不可 電子マネー不可 QRコード決済不可,"34.67181903800015,135.50548417717525",不明の為情報お待ちしております,大阪府大阪市中央区東心斎橋2-1-25 大優ビル 1F,347
The Tabelog Award 2024 Bronze 受賞店,焼肉政ちゃん,津守駅 306m , 焼肉,,"￥6,000～￥7,999","￥6,000～￥7,999",4.03,-,https://tabelog.com/osaka/A2701/A270406/27023255/,完全予約制,予約のみですが、一見はお断りとなっています。政ちゃんが認めた予約可能なお客さんだけしか受け付けませんので、ご注意ください。,四つ橋線 花園町下車。車でお越しの方は近所にコインPあり。 津守駅から306m,,,カード不可 電子マネー不可 QRコード決済不可,"34.64635663801034,135.48669787693123",不明の為情報お待ちしております,大阪府大阪市西成区鶴見橋3-8-21 ,91
食べログ 焼肉 WEST 百名店 2024 選出店,奈良きみや 別邸 柘榴,大江橋駅 273m , 焼肉、ステーキ、鉄板焼き,【きみやのヘレ肉♪】奈良きみや 大将のヘレ肉の焼き 素材 タレ 炭 焼き台 全てをここに用意致しました,"￥20,000～￥29,999","￥20,000～￥29,999",3.91,-,https://tabelog.com/osaka/A2701/A270101/27113560/,完全予約制,【柘榴 奈良きみや別邸は完全紹介制のお店です】が今回【OMAKASE】から予約を開放しておりますぜひご利用下さい。06-4397-3960は問い合わせ番号です。ご予約番号は別にあります。奈良きみやの常連さんは大将に直接【柘榴 奈良きみや別邸】のご予約番号をご確認下さい。紹介者様からのご予約を心よりお待ち申し上げております。,JR東西線 北新地駅より徒歩3分Osaka Metro御堂筋線 梅田駅より徒歩8分Osaka Metro御堂筋線 淀屋橋駅より徒歩5分Osaka Metro谷町線 東梅田駅より徒歩5分Osaka Metro四つ橋線 西梅田駅より徒歩5分JR大阪駅より徒歩10分京阪 淀屋橋駅より徒歩5分京阪 大江橋駅より徒歩4分 大江橋駅から273m,17:00 - 22:00L.O. 料理21:00 ドリンク21:30,■ 営業時間【１部】17:00～19:00【２部】18:00～20:00【３部】20:00～22:00全３部制で営業しております(上記以外の時間帯はご相談下さい)☆★☆■定休日無休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69630203798339,135.50167997742523",06-4397-3960,大阪府大阪市北区西天満2-7-19 西宝ビル 1F,280
食べログ 焼肉 WEST 百名店 2024 選出店,万正,鶴橋駅 628m , 焼肉、ホルモン,,"￥6,000～￥7,999","￥6,000～￥7,999",3.9,-,https://tabelog.com/osaka/A2701/A270205/27000561/,予約可,令和5年11月より、1〜3名様の当日のみ予約可能。4名様以上は翌月分までの予約可能。定休日(月曜、水曜)を除き、お電話にて受け付け。,大阪メトロ千日前線/鶴橋駅5番出口、近鉄大阪線・JR環状線/鶴橋駅から徒歩約15分 鶴橋駅から628m,,,カード不可 電子マネー不可 QRコード決済不可,"34.66201523801608,135.53596007705488",090-2592-9687,大阪府大阪市生野区桃谷3-3-2 ,660
食べログ 焼肉 WEST 百名店 2024 選出店,北新地やまがた屋,北新地駅 267m , ホルモン、焼肉,,"￥20,000～￥29,999","￥20,000～￥29,999",3.79,日曜日,https://tabelog.com/osaka/A2701/A270101/27011099/,予約可,非通知の電話には出ません、必ず番号通知設定に！予約やお問い合わせのお電話は12時から17時までが助かります！予約は２か月先頃まで。日曜祝日は前以ての貸切ご予約のみご利用可能です。コース予約の当日キャンセルの場合は100％キャンセル料いただきます。,北新地駅から267m,18:00 - 20:00,■ 営業時間[日・祝]前以ての貸切ご予約可能,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済不可,"34.69599378569415,135.49665843906791",080-5319-8929,大阪府大阪市北区堂島1-5-5 エスパス北新地25 3Ｆ,138
食べログ 焼肉 WEST 百名店 2024 選出店,さつま,大江橋駅 234m , 焼肉、ホルモン,,"￥6,000～￥7,999","￥6,000～￥7,999",3.77,日曜日、祝日,https://tabelog.com/osaka/A2701/A270101/27006074/,予約可,,JR北新地駅より徒歩５分 大江橋駅から234m,,,カード可 （VISA、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.6964005379829,135.50035997742714",06-6345-1565,大阪府大阪市北区堂島1丁目1-21 GOTS北新地ビル３号館 1階,641
食べログ 焼肉 WEST 百名店 2024 選出店,Matasaburo,長居駅 145m , 焼肉、ステーキ、ホルモン,X’masディナー12月21日～25日の5日間 ＊23日（月）臨時営業,"￥10,000～￥14,999","￥10,000～￥14,999",3.77,月曜日、木曜日,https://tabelog.com/osaka/A2701/A270404/27057397/,予約可,1週間以内の予約は、電話のみとなっています。,大阪メトロ長居駅2番出口から徒歩3分JR長居駅から北へ徒歩１分 長居駅から145m,11:30 - 14:30L.O. 13:30,■ 営業時間11:30～14:30（最終入店　13:30）17:30～23:00  (最終入店　21:30),カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.61216753804038,135.51290787656748",06-6693-8534,大阪府大阪市住吉区長居2-13-13 長居パークホテル　１F,575
食べログ すき焼き・しゃぶしゃぶ 百名店 2024 選出店,やすだ,城北公園通駅 465m , しゃぶしゃぶ、牛料理、焼肉,,"￥5,000～￥5,999","￥5,000～￥5,999",3.77,-,https://tabelog.com/osaka/A2701/A270304/27004667/,予約可,予約は前月20日から。忙しい時間に電話すると断られますので、時間考えた方がよいかと思います。,大阪市バス「毛馬町二丁目」下車徒歩5分 城北公園通駅から465m,,,カード不可 電子マネー不可 QRコード決済不可,"34.721673637975066,135.52613497766433",06-6929-1401,大阪府大阪市都島区毛馬町2-3-15 ,301
