awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Silver 受賞店,鳥匠 いし井,なにわ橋駅 286m , 焼き鳥、鳥料理,高坂鶏を最高潮のおいしさに引き上げる、ミシュランも認めた鶏の匠。,"￥10,000～￥14,999","￥10,000～￥14,999",4.46,-,https://tabelog.com/osaka/A2701/A270103/27117938/,完全予約制,毎月5日午前11時より翌々月末までのご予約を承ります。予約サイトOMAKASEから受付けております。お電話でのご予約は受け付けておりません代理でのご予約はお断りしております。香水などもお断りしております。,京阪なにわ橋駅より徒歩5分地下鉄・京阪 北浜駅より徒歩10分地下鉄南森町駅より徒歩15分 なにわ橋駅から286m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.6956715379852,135.50606017741578",06-7708-7864,大阪府大阪市北区西天満3-11-4 1F,351
食べログ 焼き鳥 WEST 百名店 2024 選出店,吾一,肥後橋駅 279m , 焼き鳥,,"￥10,000～￥14,999","￥10,000～￥14,999",4.02,-,https://tabelog.com/osaka/A2701/A270102/27112024/,予約可,,地下鉄肥後橋駅徒歩3分 肥後橋駅から279m,,,カード不可 電子マネー不可 QRコード決済不可,"34.68899303798587,135.49483647735616",06-6136-3831,大阪府大阪市西区江戸堀1-19-12 1F,470
食べログ 焼き鳥 WEST 百名店 2024 選出店,焼鳥 市松,北新地駅 274m , 焼き鳥、創作料理,"縦横無尽に繰り広げられる""鶏懐石""は驚きと喜びの連続。焼鳥の概念を覆す、至極の一串を味わう","￥15,000～￥19,999","￥15,000～￥19,999",3.98,月曜日、日曜日,https://tabelog.com/osaka/A2701/A270101/27013209/,予約可,予約制 (当日予約可) ご予約はOMAKASEから受け付けております。比内地鶏コース9500円(税サ別)・コースは2時間制となります。・「お持ち帰り弁当」は予約時にご注文ください。・キャンセル料　当日100％　前日100％　3日前から50％,大阪駅徒歩10分JR東西線北新地駅徒歩4分 北新地駅から274m,16:00 - 20:30,■ 営業時間コースは2時間制となります。1部　16:00〜18:002部　18:30〜20:303部　21:00〜23:00 (土曜日のみ)■ 定休日臨時営業あり,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69596663798212,135.49704087742506",06-6346-0112,大阪府大阪市北区堂島1-5-1 エスパス北新地23・1F,690
食べログ 焼き鳥 WEST 百名店 2024 選出店,心伯,東梅田駅 519m , 焼き鳥,完全予約制,"￥10,000～￥14,999","￥10,000～￥14,999",3.86,-,https://tabelog.com/osaka/A2701/A270101/27122059/,完全予約制,タバコでの中座はご遠慮ください。香りのきつい香水や整髪料ご遠慮ください。会話のボリュームなど周りのお客様にご配慮願います。コース一斉スタートとなりますので予約時間の5分前には店前にお越しくださいませ。,大阪メトロ東梅田駅　ないし南森町駅より徒歩8分 東梅田駅から519m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,"34.69883213798277,135.5048013774486",非公開,大阪府大阪市北区西天満6-6-12 ,191
食べログ 焼き鳥 WEST 百名店 2024 選出店,いし井Jr.,なにわ橋駅 285m , 焼き鳥、鳥料理、水炊き,,"￥8,000～￥9,999","￥8,000～￥9,999",3.84,-,https://tabelog.com/osaka/A2701/A270103/27117939/,完全予約制,ご予約は1毎月10日に翌月末までのご予約をOMAKASEサイトと一休の予約サイトにて承ります。お電話でのご予約は致しかねますのでご了承下さい,北浜駅より徒歩7分なにわ橋駅より徒歩7分南森町駅より徒歩11分 なにわ橋駅から285m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.695659437985185,135.50605657741565",06-6130-9480,大阪府大阪市北区西天満3-11-4 2F,180
食べログ 焼き鳥 WEST 百名店 2024 選出店,老松みやもと,大江橋駅 449m , 焼き鳥,落ち着いた和空間でいただく職人こだわりの焼き鳥。厳選した各地の日本酒とともにー。,"￥10,000～￥14,999","￥10,000～￥14,999",3.83,-,https://tabelog.com/osaka/A2701/A270102/27106123/,完全予約制,※本予約をキャンセルされた場合、下記の料金を頂戴いたします。7日前～4日前キャンセル　コース料理の10%3日前キャンセル　　　　  コース料理の50%2日前〜当日キャンセル　  コース料金の100%※店主一人で調理しているため、遅れた場合はその時点からのお料理のスタートとなります。※ご予約はテーブルチェックでも承っています。,東梅田駅、淀屋橋駅より徒歩約8分 大江橋駅から449m,,,カード可 電子マネー不可 QRコード決済不可,"34.69713673798342,135.5034348774324",06-6362-7700,大阪府大阪市北区西天満4-10-17 ,83
食べログ 焼き鳥 WEST 百名店 2024 選出店,かしわや 泰 美酒佳鶏,福島駅 35m , 焼き鳥、鳥料理,,"￥10,000～￥14,999","￥10,000～￥14,999",3.81,月曜日、火曜日,https://tabelog.com/osaka/A2701/A270108/27002614/,完全予約制,電話予約は営業日午後２時より５時半まで、店舗電話にて問い合わせを受付ます。来店されるご本人が御予約下さい、代理の方の予約は不可能です。日本語が通じる方の御来店をお願い致します。ネットでの予約はinstgramをご覧下さい。,福島駅から35m,18:00 - 00:00,■ 営業時間18:00～(最終入店21:00)■ 定休日月曜日、火曜日、不定休有り,カード不可 電子マネー不可 QRコード決済不可,"34.69729503797786,135.48630657744602",06-6452-4705,大阪府大阪市福島区福島7-5-20 びびる 1F,218
食べログ 焼き鳥 WEST 百名店 2024 選出店,炭匠 御厨,南森町駅 354m , 焼き鳥、鳥料理、居酒屋,,"￥15,000～￥19,999","￥15,000～￥19,999",3.77,-,https://tabelog.com/osaka/A2701/A270103/27106249/,完全予約制,予約はテーブルチェックからのみです。詳しくはインスタグラムをご覧下さい。,南森町駅から徒歩5分なにわ橋駅から徒歩8分東梅田駅・北新地駅からも徒歩圏内です。 南森町駅から354m,,,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"34.6984342379838,135.50723377744282",06-6948-5563,大阪府大阪市北区西天満5-10-4 ,174
食べログ 焼き鳥 WEST 百名店 2024 選出店,炭火焼鳥 いこか,堺筋本町駅 546m , 焼き鳥、居酒屋、日本料理,厳選地鶏を最高級備長炭で丁寧に焼き上げる極上の炭火焼鳥とこだわりの地酒が楽しめる隠れ家串屋,"￥6,000～￥7,999","￥6,000～￥7,999",3.76,-,https://tabelog.com/osaka/A2701/A270106/27092595/,予約可,"【予約受付可能時間】13:00〜22:00※営業時間中は繋がりにくい場合がございますのでお昼の時間帯もご利用ください。・当日のキャンセルはご遠慮ください。（ご来店1時間以内のキャンセルにつきましては1人辺り4,400円のキャンセル料をいただきます。）・御来店時間が15分以上遅れる場合はご連絡ください。・お席のお時間は2時間程度でお願いします。",地下鉄堺筋線北浜駅 徒歩8分地下鉄堺筋線堺筋本町駅 徒歩7分 堺筋本町駅から546m,18:00 - 22:30L.O. 22:00,■ 営業時間ネタが無くなり次第終了とさせていただきます。・連絡なく30分以上遅れた場合は御予約が無効になる場合がございます。・当日のご予約の大幅な時間変更は16時までにご連絡ください。■ 定休日不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.6861502379925,135.51008337731676",06-6949-8976,大阪府大阪市中央区大手通3-3-3 ,294
食べログ 焼き鳥 WEST 百名店 2024 選出店,炭火やきとり 森田,本町駅 164m , 焼き鳥,,"￥8,000～￥9,999","￥8,000～￥9,999",3.76,-,https://tabelog.com/osaka/A2701/A270106/27115978/,予約可,営業中、定休日は電話に出られない場合がございます。18:00～閉店までの予約は、2024年末まで埋まっていて新規予約は不可との由。（2023年10月24日時点）,御堂筋線本町駅８番出口中央線本町駅17番出口四つ橋線本町駅26番出口各徒歩１分 本町駅から164m,,,カード可 電子マネー不可 QRコード決済不可,"34.6830845379909,135.49893767729364",090-5051-8100,大阪府大阪市中央区本町4-4-6 プラチナ御堂筋本町ビル 1F,69
食べログ 焼き鳥 WEST 百名店 2024 選出店,焼鳥こくれ,福島駅 270m , 焼き鳥、鳥料理、日本料理,,"￥6,000～￥7,999","￥6,000～￥7,999",3.75,-,https://tabelog.com/osaka/A2701/A270108/27114944/,完全予約制,,JR東西線新福島駅徒歩10分 福島駅から270m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69538613797981,135.48862577742509",090-4742-7241,大阪府大阪市福島区福島1-5-3 ,150
食べログ 焼き鳥 WEST 百名店 2024 選出店,とり安,大阪天満宮駅 246m , 焼き鳥、水炊き、鳥料理,,"￥5,000～￥5,999","￥5,000～￥5,999",3.75,日曜日,https://tabelog.com/osaka/A2701/A270103/27116834/,予約可,,JR大阪天満宮、谷町線南森町8番出口から徒歩4分 大阪天満宮駅から246m,18:00 - 23:00,■ 営業時間まん延防止等重点措置期間中は21:00(L.O.20:30)■ 定休日他不定休,カード可 （AMEX） 電子マネー不可 QRコード決済可,"34.69536223798787,135.51387907740718",06-6926-4343,大阪府大阪市北区天満4-12-15 ,87
食べログ 焼き鳥 WEST 百名店 2024 選出店,焼鳥 登鶏,吉田駅 891m , 焼き鳥、鳥料理、水炊き,,"￥10,000～￥14,999","￥10,000～￥14,999",3.75,-,https://tabelog.com/osaka/A2707/A270703/27097155/,完全予約制,,地下鉄中央線 吉田駅より徒歩15分近鉄奈良線 花園駅より徒歩15分 吉田駅から891m,17:00 - 23:00,※定休日《不定休》※営業時間ご予約のお時間17時から18時から19時から20時から21時から上記のお時間からお選びください最終入店21:00,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.67269603803635,135.62090117710318",072-965-5858,大阪府東大阪市吉田本町1-7-8 第2高山ハイツ 1F,86
食べログ 焼き鳥 WEST 百名店 2024 選出店,炭焼巧房　源,福島駅 217m , 焼き鳥、居酒屋、水炊き,,"￥6,000～￥7,999","￥6,000～￥7,999",3.74,,https://tabelog.com/osaka/A2701/A270108/27049377/,予約可,ネット予約キャンセルについて営業が始まるとネット状況を見れないのでお手数ですが当日の食べログネット予約のキャンセルは必ずお電話にてお願いいたします。小さいお店の為、お席の指定はできません。営業時間は17時〜22時閉店です。料理を1人で作ってるので提供にお時間をいただく事をご了承くださいませ。,JR環状線福島駅下車徒歩３分程です。わからない時はお気軽にお問い合わせくださいね。 福島駅から217m,17:00 - 22:00L.O. 料理21:00 ドリンク21:30,■ 定休日基本は日・月たまに変更あります。,カード不可 電子マネー不可 QRコード決済不可,"34.699000637976596,135.48573787746363",06-6345-0722,大阪府大阪市福島区福島7-13-7 福島ビル北館　1F,341
食べログ 焼き鳥 WEST 百名店 2024 選出店,あやむ屋,新福島駅 63m , 焼き鳥、鳥料理,,"￥8,000～￥9,999","￥8,000～￥9,999",3.74,日曜日、祝日,https://tabelog.com/osaka/A2701/A270108/27001234/,予約可,,新福島駅から63m,17:30 - 22:00L.O. 料理21:15 ドリンク21:30,■定休日日曜日,カード可 （JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.69550663797874,135.48545487742854",06-6455-7270,大阪府大阪市福島区福島5-17-39 ,332
食べログ 焼き鳥 WEST 百名店 2024 選出店,鶏匠 膳,新福島駅 76m , 焼き鳥、居酒屋,,"￥8,000～￥9,999","￥8,000～￥9,999",3.74,水曜日,https://tabelog.com/osaka/A2701/A270108/27120782/,予約可,カウンター席のご予約は、 2部制につき平日 18時開始の部と20時30分開始の部休日 17時開始の部と19時30分開始の部でご予約承ります。,JR東西線「新福島駅」徒歩2分JR環状線「福島駅」   徒歩7分 新福島駅から76m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"34.694272737979574,135.48566477741593",06-6345-6555,大阪府大阪市福島区福島3-12-20 ツインコート福島 1F,139
