awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Gold 受賞店,日本橋蛎殻町 すぎた,水天宮前駅 101m , 寿司,江戸前の真髄をいまに伝える握り。進化し続ける職人技と細やかな気配りで魅せる正統派江戸前鮨。,"￥40,000～￥49,999","￥40,000～￥49,999",4.68,-,https://tabelog.com/tokyo/A1302/A130204/13018162/,完全予約制,,水天宮前駅4番出口から徒歩約2分 水天宮前駅から101m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68192953872146,139.78492058437854",03-3669-3855,東京都中央区日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F ,823
The Tabelog Award 2024 Gold 受賞店,新ばし 星野,御成門駅 415m , 日本料理,素材のおいしさを極限まで引き出す、日本料理の匠。,"￥50,000～￥59,999","￥50,000～￥59,999",4.65,日曜日、祝日,https://tabelog.com/tokyo/A1314/A131401/13136847/,完全予約制,2023年分の予約から紹介制となります,御成門駅から415m,,,カード可 （VISA、Master、JCB、AMEX、Diners）,"35.66242423872443,139.75531228420226",03-6450-1818,東京都港区新橋5-31-3 ,257
The Tabelog Award 2024 Gold 受賞店,アカ,三越前駅 157m , スペイン料理,日本の美意識と東シェフの独創性が光る、洗練されたスペイン料理。,"￥60,000～￥79,999","￥60,000～￥79,999",4.62,-,https://tabelog.com/tokyo/A1302/A130202/13249117/,完全予約制,予約はホームページ「Reservation」から。尚、日にち変更やキャンセル等が出た場合は予約サイト「OMAKASE」から。,三越前駅から157m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68686463871432,139.7723436844372",03-6262-5090,東京都中央区日本橋室町2-1-1 三井2号館,452
The Tabelog Award 2024 Gold 受賞店,東麻布 天本,赤羽橋駅 259m , 寿司,名店の魂を継承し、極上の魚に技巧を尽くす現代江戸前鮨の未来,"￥40,000～￥49,999","￥40,000～￥49,999",4.61,水曜日、日曜日,https://tabelog.com/tokyo/A1314/A131401/13196420/,完全予約制,※ご予約はウェブサイトからのみ受付けます。ご来店時やお電話・メールなどその他の方法によるお問い合わせは一切受け付けておりません。,都営大江戸線 赤羽橋駅 徒歩4分 東京メトロ日比谷線 神谷町駅 徒歩10分 赤羽橋駅から259m,,,カード可 （VISA、Master、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.65730923872389,139.7434470841589",不明の為情報お待ちしております,東京都港区東麻布1-7-9 ザ・ソノビル 102,531
The Tabelog Award 2024 Gold 受賞店,鮨 あらい,銀座駅 443m , 寿司,"久兵衛、すし匠を経て弱冠33歳で独立。""握り""にこだわった新しい世代の銀座寿司","￥50,000～￥59,999","￥50,000～￥59,999",4.6,水曜日,https://tabelog.com/tokyo/A1301/A130101/13188186/,予約可,,東京メトロ「銀座駅」A5出口から徒歩5～6分 銀座駅から443m,,,カード可 （JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.668071938723195,139.76271398425413",03-6264-5855,東京都中央区銀座8-10-2 ルアンビル B1F 2F,810
The Tabelog Award 2024 Gold 受賞店,松川,六本木一丁目駅 414m , 日本料理,,"￥60,000～￥79,999","￥60,000～￥79,999",4.6,日曜日、祝日,https://tabelog.com/tokyo/A1307/A130701/13124391/,完全予約制,・当日キャンセルの場合は、キャンセル料が発生しますのでご注意ください。,東京メトロ 銀座線・南北線「溜池山王駅」13出口より、徒歩10分東京メトロ 南北線「六本木一丁目駅」3出口より、徒歩10分東京メトロ 日比谷線「神谷町駅」4b出口より、徒歩10分 六本木一丁目駅から414m,18:00 - 22:00L.O. 20:00,■ 定休日詳細は公式HPのカレンダーに記載,カード不可 電子マネー不可 QRコード決済不可,"35.66746173871711,139.7423901842622",03-6277-7371,東京都港区赤坂1-11-6 赤坂テラスハウス １階,481
The Tabelog Award 2024 Gold 受賞店,鮨 さいとう,六本木一丁目駅 74m , 寿司,美しく丁寧な所作と情熱が織り成す、珠玉の握り。世界が認めた鮨のたおやかなる余韻に浸る。,"￥30,000～￥39,999","￥30,000～￥39,999",4.59,日曜日、祝日,https://tabelog.com/tokyo/A1308/A130802/13015251/,完全予約制,新規の電話ご予約は受け付けておりません。予約サイト「食オク」にて限定でご予約を承ります。,溜池山王駅徒歩5分虎ノ門駅徒歩8分 六本木一丁目駅から74m,12:00 - 14:00,■ 定休日但し、連休にならない祝日は除く,カード可 （VISA、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.665376438717544,139.7395882842431",03-3589-4412,東京都港区六本木1-4-5 アークヒルズサウスタワー 1Ｆ,1131
The Tabelog Award 2024 Gold 受賞店,銀座 しのはら,銀座一丁目駅 154m , 日本料理,滋賀の名店｢しのはら｣が銀座へ進出。季節の味覚をちりばめた絢爛豪華な八寸に、胸が高鳴る。,"￥40,000～￥49,999","￥40,000～￥49,999",4.58,日曜日,https://tabelog.com/tokyo/A1301/A130101/13200949/,完全予約制,基本3ヶ月先まで電話予約時間は12:00～15:00の間のみ,銀座駅から徒歩３分銀座一丁目駅から徒歩2分 銀座一丁目駅から154m,12:00 - 15:00,■ 営業時間17時、20時30分の一斉スタート、蔓延防止処置期間は17時のみ。,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済不可,"35.67297361616242,139.76787095559897",03-6263-0345,東京都中央区銀座2-8-17 ハビウル銀座2 B1,1086
The Tabelog Award 2024 Gold 受賞店,蒼,六本木駅 616m , イノベーティブ、フレンチ,,"￥40,000～￥49,999","￥40,000～￥49,999",4.57,-,https://tabelog.com/tokyo/A1307/A130701/13243463/,完全予約制,ご予約はOMAKASEから受付しております。(GoogleなどでOMAKASEと検索すると出てきます。),東京メトロ 日比谷線 六本木駅 1a出口より 徒歩7分都営地下鉄 大江戸線 六本木駅 3番出口より 徒歩8分ちぃばす 西麻布バス停より 徒歩1分【詳細】六本木通り沿いにありますMaison L'ECRINさんの右隣の白いらせん階段を上がって頂いた2Fにございます。 六本木駅から616m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.66003533871637,139.72525778419921",03-6434-9829,東京都港区西麻布3-21-3 オリンピアード麻布霞坂 2F,414
The Tabelog Award 2024 Gold 受賞店,ペレグリーノ,広尾駅 540m , イタリアン,素材の味、薫り、旬を最大限に伝えたい,"￥100,000～","￥100,000～",4.57,-,https://tabelog.com/tokyo/A1303/A130302/13072775/,完全予約制,,日比谷線　広尾駅一番出口から徒歩　09分ＪＲ恵比寿駅　東口より徒歩　10分 広尾駅から540m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.648038238721846,139.71851708408272",03-6277-4697,東京都渋谷区恵比寿2-3-4 ,284
