awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Gold 受賞店,アカ,三越前駅 157m , スペイン料理,日本の美意識と東シェフの独創性が光る、洗練されたスペイン料理。,"￥60,000～￥79,999","￥60,000～￥79,999",4.62,-,https://tabelog.com/tokyo/A1302/A130202/13249117/,完全予約制,予約はホームページ「Reservation」から。尚、日にち変更やキャンセル等が出た場合は予約サイト「OMAKASE」から。,三越前駅から157m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68686463871432,139.7723436844372",03-6262-5090,東京都中央区日本橋室町2-1-1 三井2号館,454
The Tabelog Award 2024 Bronze 受賞店,スリオラ,銀座駅 227m , スペイン料理,日本料理との共通点を追駆した先に見つけた、四季折々の表情を見せる”モダンスパニッシュ”。,"￥15,000～￥19,999","￥15,000～￥19,999",4.25,月曜日,https://tabelog.com/tokyo/A1301/A130101/13125046/,予約可,,東京メトロ　銀座駅 A1・A2出口から徒歩3分JR新橋駅銀座口から徒歩7分 銀座駅から227m,11:30 - 15:00L.O. 料理13:00,■ 定休日月曜日（他月に8日間お休み）L.O時間は最終入店時間となります。,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済不可,"35.67013053872193,139.7628590842748",03-3289-5331,東京都中央区銀座6-8-7 交詢ビル　4Ｆ,578
,MAZ,永田町駅 239m , イノベーティブ、フレンチ、スペイン料理,The World 50 Best Restaurants 1位 Centralが手掛けるMAZ,"￥40,000～￥49,999","￥40,000～￥49,999",4.0,火曜日,https://tabelog.com/tokyo/A1308/A130803/13270953/,完全予約制,,東京メトロ「赤坂見附駅」D出口から徒歩1分東京メトロ「永田町駅」9a出口直結 永田町駅から239m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.679584034744536,139.73689711250654",03-6272-8513,東京都千代田区紀尾井町1-3 東京ガーデンテラス紀尾井町 3F,167
,食堂 aca,神谷町駅 132m , スペイン料理,,"￥20,000～￥29,999","￥20,000～￥29,999",3.93,日曜日,https://tabelog.com/tokyo/A1307/A130704/13296958/,完全予約制,,神谷町駅から132m,17:00 - 23:30,■定休日不定休,カード可 電子マネー不可 QRコード決済不可,"35.66239640641391,139.74366781353717",03-6432-0015,東京都港区虎ノ門5-8-1 麻布台ヒルズ ガーデンプラザA 2F,74
食べログ スペイン料理 百名店 2024 選出店,Tinc gana,市ケ谷駅 326m , スペイン料理、バル,バルセロナの最先端ガストロバーを市ヶ谷で体験,"￥15,000～￥19,999","￥15,000～￥19,999",3.92,,https://tabelog.com/tokyo/A1309/A130904/13275231/,予約可,"※ベジタリアンやグルテン、乳製品などの複数のアレルギーをお持ちのお客様は、スペシャルおまかせコースとしてお一人様 ¥19.000-(12月は¥25,000-)をご用意いたします。来店日の3日前までにご予約をお願いいたします。※コース料理は、ご同席の皆様に同じコースでのご注文をお願いしております。",ＪＲ 市ケ谷駅 3番出口 徒歩3分地下鉄 市ケ谷駅 徒歩3分都営新宿線 市ケ谷駅 徒歩3分 市ケ谷駅から326m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.689159538701055,139.73525168448637",03-5357-1921,東京都千代田区六番町4-3 GEMS市ヶ谷 1F,199
食べログ スペイン料理 百名店 2024 選出店,eman,清澄白河駅 149m , スペイン料理,,"￥15,000～￥19,999","￥15,000～￥19,999",3.82,-,https://tabelog.com/tokyo/A1313/A131303/13266919/,完全予約制,・毎月1日0時にTable checkにて2ヶ月先のご予約を受け付けております（例:1月1日に3月分のご予約）・営業時間帯＆店休日は、お電話でのお問い合わせはお受けしておりません。,清澄白河駅（半蔵門線・大江戸線） A3出口 徒歩1分 清澄白河駅から149m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68151113872635,139.79943288436414",03-6240-3644,東京都江東区白河1-3-6 ,209
食べログ スペイン料理 百名店 2024 選出店,TOKi,新橋駅 240m , スペイン料理、イノベーティブ,東京・新橋『TOKi』～バル併設のモダンレストラン～,"￥10,000～￥14,999","￥10,000～￥14,999",3.77,,https://tabelog.com/tokyo/A1301/A130103/13262451/,予約可,レストランは事前のコース料理のご予約を頂きます。平日ランチを除くバル営業は組数限定で予約受付をしております。【ご予約のキャンセルについて】2日前よりキャンセル料ご予約代金メニューの30%を申し受けます。当日は100％ご請求致します。予めご了承ください。キャンセル・変更の場合は必ずお電話にてご連絡お願い致します。,SMBCビルの正面の右手側に店舗入り口(階段・エレベーター)御座います。SMBCビル1階の“まほろば館　奈良ブランドショップ”からも2階へエレベータで上がれます。JR新橋駅から徒歩2分東京メトロ銀座線新橋駅から徒歩１分都営大江戸線汐留駅から徒歩7分 新橋駅から240m,12:00 - 15:30,■ 営業時間レストラン[火～土]12:00～15:30(L.O.13:30)18:00～22:00(L.O.19:30)バル[火～土]12:00～15:00(L.O.13:30)17:30～　(L.O.21:00),カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （d払い）,"35.66723135919398,139.7606914325191",03-6228-5665,東京都港区新橋1-8-4 SMBC新橋 2F,307
,TexturA,日比谷駅 80m , イノベーティブ、スペイン料理、中華料理,【有楽町駅2分】洗練された大人の社交場で、中国料理とスペイン料理をカジュアルに楽しむ。,"￥10,000～￥14,999","￥10,000～￥14,999",3.75,月曜日,https://tabelog.com/tokyo/A1301/A130102/13232958/,予約可,ご予約をキャンセルされた場合、コース、アラカルト利用問わず、下記の料金を頂戴いたします。 当日キャンセル：ご予約コース料金×ご予約人数の100% 前日キャンセル：ご予約コース料金×ご予約人数の50%何卒ご理解頂けますようお願い致します。,地下鉄　日比谷駅　A3出口より徒歩１分JR　有楽町駅　日比谷口より徒歩2分ペニンシュラホテル裏口に面した仲通り沿いになります。路面店舗となりますので、ご来店の際はご注意下さい。 日比谷駅から80m,11:00 - 16:30,■ 営業時間【カジュアルエリア】ランチ　　11:00~14:00カフェ　　14:00~16:30ディナー　17:00~22:00(L.O.21:00)※土日祝は11:00~終日ディナーアラカルトメニューで営業【レストランエリア】ランチコーススタート　　11:30~12:30(close15:00)ディナーコーススタート　17:30~19:30(close22:00)■ 定休日月曜日が祝日の場合は翌日の火曜日,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済不可,"35.6744102387187,139.76124718431916",03-6259-1144,東京都千代田区有楽町1-7-1 有楽町電気ビル 1F,1656
,セララバアド,代々木上原駅 541m , イノベーティブ、スペイン料理、フレンチ,気軽に楽しめる新感覚モダンガストロノミー。目にも鮮やかな、クリエイティビティ溢れる料理たち,"￥20,000～￥29,999","￥20,000～￥29,999",3.75,,https://tabelog.com/tokyo/A1318/A131811/13176914/,完全予約制,,代々木上原　代々木八幡　代々木公園　各駅から徒歩8分 代々木上原駅から541m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.66578943869963,139.68418288428612",03-3465-8471,東京都渋谷区上原2-8-11 TWIZA上原　1F,396
食べログ スペイン料理 百名店 2024 選出店,Gracia,広尾駅 130m , スペイン料理、イノベーティブ,ミシュランガイド東京2022ビブグルマン獲得 バルセロナの最先端ガストロバーを広尾で,"￥5,000～￥5,999","￥5,000～￥5,999",3.74,,https://tabelog.com/tokyo/A1307/A130703/13248611/,予約可,貸切予約受付中です。ご予算・条件等はご相談くださいませ。,電車　東京メトロ日比谷線「広尾駅」より徒歩1分バス　黒77 / 橋86 / 品97「広尾橋」より徒歩1分　都06「天現寺橋」より徒歩5分 広尾駅から130m,11:30 - 14:00,■ディナーラストオーダー　22:00■ 定休日　なし　（年末年始を除く）,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、nanaco、iD） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"35.65072673872121,139.72189288410755",03-6432-5013,東京都渋谷区広尾5-4-16 EAT PLAY WORKS THE RESTAURANT 2F,400
